Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au	distance
60	-0.9148605664062521	0.487	0.0	0.0	0.0	0.278	0.114	0.12	0.001	0.10833277632634643
61	-0.1918224511718742	0.002	0.094	0.021	0.004	0.466	0.028	0.386	-0.001	0.39755865549468633
62	-0.9045536132812536	0.481	0.011	0.001	0.0	0.209	0.08	0.0	0.218	0.11254655257803722
63	-0.11594858398437491	0.0	0.405	0.008	0.584	0.0	0.0	0.0	0.003	0.6951006117262505
64	-0.2436730468750005	0.066	0.003	0.08	0.015	0.007	0.796	0.035	-0.002	0.7395492669295467
65	-0.9584977441406247	0.441	0.0	0.0	0.0	0.003	0.386	0.17	0.0	0.13175900486945244
66	-0.8483112207031235	0.333	0.003	0.025	0.014	0.141	0.337	0.147	0.0	0.1267573326598565
67	-0.9608137207031181	0.411	0.019	0.032	0.024	0.025	0.134	0.356	-0.001	0.025198918409775076
68	-0.948673076171872	0.447	0.017	0.003	0.028	0.11	0.012	0.384	-0.001	0.03605275240722259
69	-0.9523978906249975	0.635	0.0	0.0	0.0	0.0	0.013	0.352	0.0	0.07020466667657803
70	-0.9571948535156216	0.369	0.0	0.0	0.0	0.0	0.102	0.524	0.005	0.0853384925751995
71	-0.9253451855468713	0.18	0.002	0.002	0.002	0.002	0.343	0.468	0.001	0.19368639087119738
72	-0.7899928222656248	0.386	0.174	0.0	0.0	0.0	0.009	0.432	-0.001	0.05524866392399091
73	-0.9763170996093734	0.479	0.007	0.003	0.011	0.016	0.282	0.202	0.0	0.07037137229925054
74	-0.9316076562499954	0.295	0.0	0.0	0.0	0.0	0.292	0.412	0.001	0.10643967733020707
75	-0.9793685058593712	0.544	0.0	0.0	0.0	0.0	0.13	0.326	0.0	0.03870145731909855
76	-0.9741283984374962	0.453	0.0	0.0	0.0	0.0	0.186	0.361	0.0	0.04097643653693237
77	-0.9775181835937488	0.44	0.0	0.0	0.0	0.0	0.304	0.257	-0.001	0.07533784776422478
78	-0.9551457519531229	0.389	0.0	0.0	0.0	0.009	0.307	0.294	0.001	0.07786251681000028
79	-0.742278652343745	0.311	0.014	0.102	0.0	0.031	0.043	0.499	0.0	0.08478235712007559
80	-0.9771334082031213	0.457	0.0	0.0	0.0	0.001	0.198	0.345	-0.001	0.04166317897141451
