Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.1321920703125002	0.02183876920010619	0.1680515474669928	0.16380926845993482	0.16851743809506803	0.1760602505636304	0.02086898358237288	0.1607475978068985	0.12010614482499637
2	-0.1788815039062499	0.02727489546144335	0.042023378335476425	0.04378341442820832	0.07187881749591518	0.4590077655181295	0.07462849242458913	0.08732965298119044	0.19407358335504765
3	-0.922310615234371	0.3070641171789983	0.03696839723574985	0.03081059712618084	0.031222485125833588	0.07979095031432137	0.009899641936992554	0.3050895662151928	0.19915424486673072
4	-0.9509838476562484	0.34364307621297563	0.021149762040961206	0.014693084354781737	0.014364756598141123	0.06514532448239735	0.008162472698042487	0.3241555450286874	0.20868597858401317
5	-0.8114014843749958	0.5332729492388155	0.060706559033219164	0.10712685690962655	0.054582693238995415	0.0	0.0	0.24393057952791927	0.00038036205142399915
6	-0.8003473046874924	0.20758148637063634	0.07200749488891484	0.047992697484884064	0.0006799399958084692	0.09609372917011952	0.0004658735049262618	0.5751783878742025	3.907105079470341e-07
7	-0.9521196777343675	0.3465189677295404	0.01791810476853461	0.06435500656524037	0.010850704079426779	0.0052396756331930285	0.19880303313202471	0.35630810573241417	6.402359625790055e-06
8	-0.8721577734375	0.5492951971818256	0.0	0.0	0.0	0.0	0.3821419848282816	0.06852625631690662	3.656167298604629e-05
9	-0.2402870898437499	0.04995966262937216	0.007199426370071314	0.04799464198659434	0.08799162361709065	0.00838966983781721	0.7634178930243513	0.035046520467422876	5.620672802741922e-07
10	-0.9768008691406244	0.38558559035278855	0.0	0.0	0.0	0.0	0.14669803750149252	0.27490005629516967	0.19281631585054926
11	-0.8730891210937511	0.8138830491132996	0.0	0.0	0.0	0.1487567151741641	0.03357282620458504	0.0	0.0037874095079513115
12	-0.7188963183593752	0.5807930499941939	0.29386013025593993	0.0	0.0	0.0	0.12532940295359357	0.0	1.7416796272540225e-05
13	-0.8758145800781245	0.4978076320346218	0.0	0.0	0.0	0.2817603058264299	0.11239599767511246	0.10674627626843122	0.0012897881954045953
14	-0.46211257812500317	0.3413335378123119	0.05201648789208438	0.010406690319114963	0.1852488833341265	0.007880477914357862	0.05008309825958384	0.3530253501894771	5.474278943484734e-06
15	-0.7268261132812489	0.40333940396264	0.0	0.3251824358035702	0.0	0.0024026370557750565	0.05514821954884384	0.21392702584329962	2.777858713054471e-07
16	-0.775506093749997	0.3814768879180894	0.14367499847985538	0.011304107641161892	0.004420138102987463	0.07085738096847251	0.07428842534893407	0.3102320131314504	0.0037460484090490187
17	-0.9141686230468715	0.5835043388937529	0.0	0.0	0.0	0.008661432973691256	0.001848749689401497	0.40598505054144335	4.279017109531935e-07
18	-0.8878668457031192	0.4123772583167222	0.0	0.033460364645663127	0.0	0.15233040947616397	0.05277644071981808	0.34900535523652226	5.017160511044949e-05
19	-0.9924763671874989	0.4614792087776047	0.0	0.0	0.0	0.0	0.0	0.16798492371775908	0.3705358675046362
20	-0.2863855371093746	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
21	-1.013256318359375	0.39386859616087044	0.0	0.0	0.0	0.0	0.0	0.25276333726944983	0.3533680665696797
22	-0.9574740234374991	0.2201874932383555	0.0	0.0302337174883219	0.0	0.0	0.0	0.2856661882760084	0.46391260099731424
23	-1.0146957421875002	0.37280465421167786	0.0	0.0	0.0	0.0	0.0	0.27615682169974914	0.35103852408857295
24	-0.9114493457031264	0.3860689951673872	0.0	0.0	0.0	0.08917618396635751	0.0	0.0	0.5247548208662554
25	-0.23686442382812428	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
26	-0.12088152343749997	0.0	0.8364673853410873	0.09419416756021853	0.0026010551304162157	0.0	0.06394487499634524	0.0015141629006635631	0.0012783540712691943
27	-0.9357314648437494	0.3408263744441035	0.0	0.0862200949871634	0.0	0.0	0.0	0.29863172781102887	0.27432180275770424
28	-1.0149945800781248	0.39750635513623916	0.0	0.0	0.0	0.0	0.0	0.24581361147570524	0.35668003338805554
29	-0.9238682910156192	0.252310621481959	0.015862359669058197	0.0	0.0	0.0	0.3716159368736104	0.36000351879112213	0.0002075631842503034
30	-0.21013666992187513	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
31	-0.6965553906250005	0.7881830709017887	0.0	0.21050288214861532	0.0	0.0	0.0	0.0012960216763619904	1.8025273233912564e-05
32	-0.9105896289062491	0.3079689640099353	0.0	0.0	0.0	0.07159588104760828	0.0	0.2299237450405537	0.3905114099019027
33	-1.0169134472656258	0.4165225282131231	0.0	0.0	0.0	0.0	0.0	0.25577903006651986	0.327698441720357
34	-1.0218690234375003	0.41429000600686594	0.0	0.0	0.0	0.0	0.0	0.26297938735097753	0.32273060664215647
35	-0.9957310742187474	0.1884059281936871	0.0	0.0	0.0	0.0	0.1631379172871353	0.4187002486414798	0.22975590587769779
