Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
72	-0.5752962890625006	0.787	0.008	0.006	0.15	0.009	0.001	0.038	0.001
73	-0.26815357421875063	0.0	0.0	0.0	0.0	0.0	0.334	0.231	0.435
74	-0.8969340332031268	0.407	0.009	0.0	0.0	0.0	0.584	0.0	0.0
75	-0.11822267578125042	0.052	0.503	0.001	0.418	0.005	0.0	0.022	-0.001
76	-0.7751353808593744	0.27	0.0	0.02	0.0	0.054	0.551	0.105	0.0
77	-0.8851540624999998	0.669	0.012	0.0	0.0	0.288	0.018	0.013	0.0
78	-0.6977952441406242	0.289	0.0	0.099	0.0	0.024	0.357	0.232	-0.001
79	-0.7113748632812503	0.359	0.308	0.023	0.0	0.31	0.0	0.0	0.0
80	-0.5925651855468765	0.478	0.315	0.206	0.0	0.0	0.0	0.0	0.001
81	-0.17739135742187528	0.037	0.081	0.0	0.854	0.0	0.027	0.0	0.001
82	-0.8600651757812504	0.455	0.0	0.0	0.0	0.284	0.254	0.0	0.007
83	-0.7985149609375018	0.318	0.0	0.0	0.0	0.344	0.0	0.0	0.338
84	-1.026728095703126	0.469	0.0	0.0	0.0	0.0	0.0	0.245	0.286
85	-1.0124395996093747	0.473	0.0	0.0	0.0	0.0	0.0	0.229	0.298
86	-0.16601434570312418	0.018	0.099	0.525	0.358	0.0	0.0	0.0	0.0
87	-1.0111159179687497	0.47	0.0	0.0	0.0	0.0	0.0	0.224	0.306
88	-0.5165546191406262	0.286	0.005	0.425	0.004	0.024	0.135	0.015	0.106
89	-1.0117304882812497	0.47	0.0	0.0	0.0	0.0	0.0	0.222	0.308
90	-1.0058734667968747	0.461	0.0	0.0	0.0	0.0	0.0	0.219	0.32
91	-1.023207890625001	0.444	0.0	0.0	0.0	0.0	0.0	0.241	0.315
92	-0.12547549804687488	0.0	0.393	0.0	0.159	0.0	0.448	0.0	0.0
93	-0.23569706054687328	0.0	0.012	0.475	0.11	0.054	0.0	0.349	0.0
94	-0.8600651757812504	0.387	0.0	0.0	0.0	0.145	0.468	0.0	0.0
95	-1.023597412109376	0.447	0.0	0.0	0.0	0.0	0.0	0.249	0.304
96	-0.15781278320312508	0.037	0.0	0.053	0.302	0.533	0.074	0.0	0.001
97	-0.22534401367187515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
98	-0.9050476367187519	0.505	0.0	0.0	0.0	0.0	0.0	0.0	0.495
99	-0.17216022460937452	0.0	0.023	0.052	0.02	0.844	0.06	0.0	0.001
100	-0.6065918749999997	0.374	0.01	0.197	0.226	0.009	0.001	0.051	0.132
101	-0.6856859960937515	0.75	0.0	0.175	0.0	0.0	0.069	0.005	0.001
102	-0.7373036425781256	0.421	0.0	0.162	0.0	0.0	0.0	0.0	0.417
