Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.5104276660156255	0.322	0.137	0.103	0.039	0.088	0.03	0.047	0.234
2	-0.34075827148437454	0.1	0.14	0.043	0.129	0.167	0.242	0.072	0.107
3	-0.2643761816406237	0.177	0.121	0.136	0.132	0.126	0.174	0.005	0.129
4	-0.6023347949218757	0.346	0.139	0.098	0.024	0.081	0.006	0.054	0.252
5	-0.6328794042968754	0.398	0.145	0.087	0.0	0.067	0.0	0.069	0.234
6	-0.7724930468749982	0.457	0.171	0.0	0.0	0.066	0.0	0.151	0.155
7	-0.9752924804687468	0.547	0.041	0.009	0.047	0.041	0.026	0.289	-0.0
8	-0.7867051074218698	0.141	0.019	0.018	0.021	0.009	0.002	0.79	0.0
9	-0.8815729296874989	0.769	0.003	0.053	0.006	0.029	0.013	0.124	0.003
10	-0.5680298535156261	0.31	0.0	0.009	0.179	0.0	0.0	0.501	0.001
11	-0.9683080078124962	0.461	0.01	0.003	0.006	0.301	0.03	0.187	0.002
12	-0.9538852832031214	0.54	0.056	0.002	0.012	0.11	0.087	0.191	0.002
13	-0.19142240234375	0.046	0.01	0.056	0.003	0.791	0.018	0.076	0.0
14	-0.8573413476562513	0.555	0.018	0.009	0.044	0.27	0.057	0.046	0.001
15	-0.21468771484374907	0.006	0.0	0.937	0.0	0.0	0.0	0.057	0.0
16	-0.9510251660156211	0.533	0.011	0.009	0.02	0.067	0.067	0.289	0.004
17	-0.6096766113281256	0.088	0.0	0.0	0.0	0.094	0.798	0.019	0.001
18	-0.13560126953125048	0.053	0.82	0.001	0.007	0.0	0.002	0.117	0.0
19	-0.9503623046874987	0.579	0.008	0.005	0.053	0.106	0.03	0.22	-0.001
20	-0.8974363085937492	0.553	0.019	0.002	0.001	0.124	0.229	0.072	0.0
21	-0.2776889062500005	0.013	0.015	0.0	0.0	0.0	0.618	0.351	0.003
22	-0.8412690722656223	0.629	0.001	0.07	0.024	0.017	0.065	0.195	-0.001
23	-0.9479425683593723	0.702	0.0	0.0	0.0	0.095	0.0	0.199	0.004
24	-0.9673410644531186	0.481	0.034	0.001	0.003	0.126	0.0	0.355	0.0
25	-0.8868304101562455	0.395	0.0	0.044	0.0	0.264	0.029	0.268	0.0
26	-0.9444637890624975	0.559	0.013	0.007	0.009	0.166	0.044	0.202	-0.0
27	-0.9617237499999958	0.549	0.019	0.027	0.013	0.151	0.02	0.222	-0.001
28	-0.12453389648437554	0.009	0.123	0.0	0.755	0.037	0.077	0.0	-0.001
29	-0.8667609960937503	0.806	0.0	0.0	0.0	0.16	0.033	0.001	0.0
30	-0.9388079296874974	0.594	0.0	0.0	0.011	0.104	0.007	0.284	0.0
31	-0.9333777832031225	0.578	0.0	0.0	0.0	0.139	0.01	0.268	0.005
32	-0.9521682421874961	0.541	0.0	0.0	0.0	0.153	0.123	0.179	0.004
33	-0.5432488378906254	0.63	0.047	0.003	0.131	0.035	0.14	0.014	0.0
34	-0.897658242187497	0.33	0.034	0.018	0.002	0.259	0.232	0.125	0.0
35	-0.9658864550781195	0.514	0.035	0.01	0.005	0.003	0.027	0.405	0.001
36	-0.9439619140624977	0.438	0.004	0.0	0.0	0.109	0.194	0.256	-0.001
37	-0.9693390917968705	0.507	0.006	0.008	0.003	0.174	0.13	0.171	0.001
38	-0.7010829492187477	0.244	0.167	0.0	0.0	0.032	0.003	0.552	0.002
39	-0.670530556640627	0.434	0.152	0.01	0.005	0.329	0.047	0.023	0.0
40	-0.9255615234374971	0.49	0.0	0.0	0.0	0.257	0.083	0.169	0.001
41	-0.9215032031249983	0.505	0.001	0.0	0.0	0.163	0.072	0.259	0.0
42	-0.932797861328121	0.55	0.081	0.0	0.0	0.09	0.0	0.278	0.001
43	-0.7536481445312453	0.447	0.0	0.13	0.0	0.075	0.0	0.347	0.001
44	-0.9213885253906233	0.543	0.0	0.0	0.0	0.145	0.06	0.245	0.007
45	-0.26952173828124965	0.062	0.0	0.0	0.0	0.405	0.0	0.533	0.0
46	-0.9453487988281218	0.66	0.0	0.0	0.0	0.0	0.0	0.338	0.002
47	-0.9517938769531216	0.495	0.0	0.0	0.0	0.15	0.153	0.201	0.001
48	-0.957294130859372	0.465	0.0	0.0	0.0	0.178	0.0	0.172	0.185
49	-0.8693978320312497	0.397	0.0	0.0	0.0	0.111	0.419	0.073	0.0
50	-0.9400717089843741	0.5	0.004	0.0	0.041	0.221	0.001	0.233	0.0
51	-0.8587228710937449	0.506	0.082	0.0	0.0	0.011	0.015	0.385	0.001
52	-0.9413283496093717	0.422	0.0	0.0	0.0	0.204	0.209	0.165	0.0
53	-0.9258622851562474	0.486	0.0	0.0	0.0	0.209	0.107	0.198	0.0
54	-0.9395828417968728	0.58	0.0	0.0	0.0	0.18	0.0	0.237	0.003
55	-0.9360851171874991	0.545	0.0	0.0	0.0	0.065	0.0	0.261	0.129
56	-0.9696856152343707	0.486	0.011	0.0	0.0	0.169	0.118	0.216	0.0
57	-0.9375031347656221	0.449	0.0	0.0	0.0	0.211	0.182	0.153	0.005
58	-0.9535174121093715	0.515	0.0	0.0	0.0	0.212	0.0	0.195	0.078
59	-0.9531285742187472	0.54	0.001	0.0	0.0	0.023	0.153	0.283	0.0
60	-0.9607200683593714	0.504	0.0	0.0	0.0	0.214	0.0	0.191	0.091
61	-0.9795115234374954	0.502	0.019	0.0	0.0	0.208	0.0	0.203	0.068
62	-0.9777229492187456	0.505	0.052	0.0	0.0	0.222	0.0	0.221	0.0
63	-0.97871778320312	0.464	0.058	0.0	0.0	0.138	0.155	0.185	0.0
64	-0.9506178906249962	0.462	0.055	0.0	0.0	0.184	0.094	0.204	0.001
65	-0.714139921875001	0.252	0.004	0.001	0.024	0.251	0.461	0.007	0.0
66	-0.9577014648437472	0.502	0.059	0.0	0.0	0.113	0.097	0.227	0.002
67	-0.97672278320312	0.47	0.055	0.0	0.0	0.13	0.16	0.183	0.002
68	-0.9751836132812451	0.494	0.028	0.0	0.0	0.101	0.203	0.175	-0.001
69	-0.9732588378906203	0.466	0.017	0.0	0.0	0.122	0.216	0.178	0.001
70	-0.8052246289062469	0.478	0.048	0.004	0.098	0.083	0.071	0.217	0.001
71	-0.9498075683593719	0.531	0.004	0.0	0.0	0.287	0.0	0.178	0.0
72	-0.9784597949218712	0.516	0.063	0.0	0.0	0.218	0.004	0.199	0.0
73	-0.12639959960937483	0.0	0.455	0.0	0.0	0.0	0.541	0.0	0.004
74	-0.9035913769531223	0.329	0.001	0.001	0.0	0.016	0.385	0.267	0.001
75	-0.9801554785156212	0.478	0.061	0.0	0.0	0.255	0.0	0.207	-0.001
76	-0.179412578124999	0.0	0.0	0.526	0.0	0.036	0.438	0.0	0.0
77	-0.941017460937496	0.453	0.0	0.0	0.0	0.008	0.125	0.408	0.006
78	-0.968221708984371	0.563	0.068	0.0	0.0	0.205	0.0	0.164	0.0
79	-0.20915082031249982	0.0	0.225	0.0	0.04	0.0	0.027	0.708	0.0
80	-0.9801006249999947	0.469	0.05	0.0	0.0	0.25	0.0	0.191	0.04
81	-0.981202167968745	0.465	0.046	0.0	0.0	0.253	0.0	0.187	0.049
82	-0.6662607714843746	0.387	0.0	0.21	0.0	0.4	0.0	0.003	0.0
83	-0.981470449218745	0.462	0.043	0.0	0.0	0.259	0.0	0.187	0.049
84	-0.9498661132812471	0.424	0.0	0.0	0.0	0.386	0.0	0.19	0.0
85	-0.9513978027343724	0.398	0.0	0.0	0.0	0.294	0.0	0.137	0.171
86	-0.19632557617187457	0.0	0.0	0.0	0.0	0.528	0.472	0.0	0.0
87	-0.22534401367187515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
88	-0.11336335937499994	0.001	0.369	0.563	0.02	0.048	0.0	0.0	-0.001
89	-0.8130278124999972	0.475	0.016	0.098	0.0	0.26	0.002	0.148	0.001
90	-0.9541109863281237	0.497	0.0	0.0	0.0	0.0	0.334	0.17	-0.001
91	-0.8736249609375021	0.371	0.0	0.0	0.001	0.006	0.591	0.029	0.002
92	-0.9722874804687454	0.482	0.017	0.0	0.0	0.104	0.23	0.167	0.0
93	-0.17302565429687386	0.0	0.0	0.482	0.0	0.518	0.0	0.0	0.0
94	-0.9595963183593732	0.432	0.0	0.0	0.0	0.005	0.297	0.266	0.0
95	-0.9763308984374947	0.474	0.039	0.0	0.0	0.133	0.183	0.171	0.0
96	-0.7226144726562518	0.401	0.11	0.0	0.0	0.0	0.474	0.015	0.0
97	-0.5459289843750016	0.346	0.0	0.0	0.131	0.482	0.0	0.041	0.0
98	-0.5423565332031276	0.252	0.0	0.0	0.143	0.0	0.571	0.034	0.0
99	-0.9516690429687458	0.515	0.055	0.0	0.0	0.169	0.095	0.166	0.0
100	-0.9873794628906231	0.612	0.029	0.0	0.0	0.154	0.0	0.126	0.079
101	-0.6831207324218742	0.267	0.154	0.0	0.0	0.34	0.0	0.237	0.002
102	-0.9015551171874928	0.266	0.039	0.003	0.0	0.032	0.218	0.442	0.0
103	-0.9640432714843706	0.484	0.006	0.0	0.0	0.127	0.2	0.181	0.002
104	-0.700199169921876	0.74	0.14	0.002	0.005	0.072	0.003	0.038	0.0
105	-0.8957370410156245	0.605	0.0	0.0	0.0	0.161	0.0	0.102	0.132
106	-0.9772592773437451	0.378	0.051	0.0	0.0	0.153	0.191	0.221	0.006
