Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.7154083691406221	0.426	0.047	0.12	0.03	0.036	0.014	0.155	0.172
2	-0.18359070312499953	0.038	0.156	0.177	0.008	0.123	0.008	0.362	0.128
3	-0.8004651855468726	0.46	0.057	0.097	0.044	0.127	0.005	0.139	0.071
4	-0.63426453125	0.639	0.109	0.041	0.046	0.126	0.002	0.038	-0.001
5	-0.5368559375000004	0.434	0.0	0.074	0.144	0.232	0.011	0.104	0.001
6	-0.7135182324218726	0.5	0.134	0.053	0.008	0.116	0.018	0.171	0.0
7	-0.6977992773437485	0.494	0.061	0.194	0.0	0.14	0.0	0.112	-0.001
8	-0.8789624609374966	0.565	0.0	0.079	0.0	0.044	0.0	0.236	0.076
9	-0.9327790234374943	0.587	0.053	0.034	0.004	0.023	0.074	0.225	0.0
10	-0.9524970605468736	0.543	0.005	0.016	0.056	0.002	0.198	0.18	0.0
11	-0.810575107421876	0.574	0.016	0.072	0.002	0.014	0.283	0.038	0.001
12	-0.20912162109375018	0.06	0.013	0.08	0.06	0.031	0.735	0.021	0.0
13	-0.45471088867187587	0.168	0.0	0.0	0.769	0.0	0.034	0.03	-0.001
14	-0.969894003906248	0.599	0.017	0.004	0.0	0.001	0.097	0.283	-0.001
15	-0.7917890429687512	0.605	0.003	0.092	0.018	0.008	0.105	0.168	0.001
16	-0.8059513378906215	0.434	0.094	0.013	0.004	0.016	0.016	0.422	0.001
17	-0.09926103515625051	0.042	0.746	0.0	0.013	0.195	0.004	0.0	0.0
18	-0.9444168457031227	0.616	0.0	0.0	0.0	0.0	0.062	0.322	0.0
19	-0.9430046972656227	0.507	0.0	0.0	0.0	0.073	0.167	0.253	0.0
20	-0.9617916113281234	0.582	0.0	0.0	0.0	0.0	0.15	0.268	0.0
21	-0.9301649707031205	0.477	0.0	0.029	0.001	0.0	0.074	0.418	0.001
22	-0.23134025390625013	0.048	0.0	0.892	0.0	0.002	0.058	0.0	0.0
23	-0.9690753613281224	0.558	0.0	0.0	0.0	0.0	0.152	0.291	-0.001
24	-0.9661047265624987	0.5	0.0	0.0	0.0	0.0	0.274	0.226	0.0
