Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.15075032226562501	0.03	0.138	0.106	0.119	0.004	0.43	0.043	0.13
2	-0.4582352734375014	0.203	0.05	0.025	0.14	0.174	0.309	0.013	0.086
3	-0.6003430761718747	0.158	0.011	0.283	0.108	0.071	0.307	0.001	0.061
4	-0.2086433886718749	0.055	0.013	0.031	0.032	0.668	0.028	0.051	0.122
5	-0.3443281933593751	0.138	0.06	0.015	0.547	0.001	0.031	0.134	0.074
6	-0.2328827148437496	0.115	0.134	0.07	0.243	0.043	0.089	0.008	0.298
7	-0.36427604492187454	0.097	0.158	0.345	0.105	0.083	0.012	0.119	0.081
8	-0.21031416992187632	0.084	0.158	0.068	0.288	0.018	0.004	0.232	0.148
9	-0.5252736718750007	0.168	0.009	0.265	0.111	0.085	0.302	0.001	0.059
10	-0.5111023730468749	0.153	0.008	0.308	0.105	0.061	0.307	0.0	0.058
11	-0.5792910742187488	0.148	0.02	0.269	0.108	0.066	0.32	0.004	0.065
12	-0.5072979101562499	0.149	0.011	0.263	0.105	0.064	0.35	0.0	0.058
13	-0.4445617578124992	0.146	0.053	0.278	0.084	0.096	0.282	0.011	0.05
14	-0.5919879492187519	0.278	0.002	0.245	0.11	0.035	0.327	0.003	0.0
15	-0.7302574902343749	0.442	0.007	0.089	0.107	0.018	0.281	0.055	0.001
16	-0.8301423046875009	0.668	0.059	0.061	0.016	0.003	0.101	0.092	0.0
17	-0.6259747363281248	0.648	0.021	0.214	0.014	0.044	0.045	0.013	0.001
18	-0.8706022753906261	0.647	0.0	0.008	0.015	0.021	0.255	0.054	0.0
19	-0.9632875488281235	0.493	0.003	0.018	0.002	0.001	0.232	0.243	0.008
20	-0.9360698925781209	0.56	0.006	0.018	0.005	0.011	0.045	0.355	0.0
21	-0.2262896679687502	0.048	0.012	0.065	0.011	0.035	0.092	0.737	0.0
22	-0.9569229980468729	0.574	0.0	0.0	0.0	0.045	0.132	0.248	0.001
23	-0.970412363281244	0.467	0.035	0.006	0.0	0.011	0.134	0.347	0.0
24	-0.7656521289062496	0.496	0.146	0.007	0.004	0.004	0.1	0.243	0.0
25	-0.9513248242187482	0.607	0.0	0.0	0.0	0.0	0.102	0.288	0.003
26	-0.40201599609374933	0.101	0.0	0.753	0.023	0.056	0.035	0.032	0.0
27	-0.9626280175781232	0.569	0.0	0.0	0.0	0.0	0.152	0.276	0.003
28	-0.9634102539062461	0.526	0.0	0.011	0.006	0.0	0.126	0.331	0.0
29	-0.9400055273437472	0.578	0.0	0.0	0.0	0.0	0.074	0.347	0.001
30	-0.969060712890622	0.542	0.0	0.0	0.0	0.0	0.154	0.304	0.0
31	-0.9605844726562464	0.514	0.0	0.0	0.0	0.0	0.147	0.339	0.0
32	-0.947065214843747	0.657	0.0	0.0	0.0	0.0	0.021	0.323	-0.001
33	-0.9193075292968717	0.455	0.013	0.032	0.044	0.101	0.085	0.27	0.0
