Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.5034239453124998	0.085	0.251	0.03	0.021	0.007	0.197	0.079	0.33
2	-0.3752674218750007	0.25	0.223	0.147	0.034	0.107	0.11	0.093	0.036
3	-0.6894991015624996	0.355	0.084	0.085	0.065	0.045	0.192	0.024	0.15
4	-0.39682323242187395	0.08	0.091	0.201	0.004	0.145	0.121	0.077	0.281
5	-0.19520405273437458	0.023	0.086	0.257	0.046	0.079	0.048	0.341	0.12
6	-0.18277238281250036	0.004	0.07	0.045	0.174	0.234	0.112	0.255	0.106
7	-0.8550792089843766	0.381	0.057	0.052	0.057	0.001	0.237	0.0	0.215
8	-0.7930310644531258	0.26	0.029	0.01	0.0	0.005	0.639	0.057	0.0
9	-0.8780174121093776	0.541	0.0	0.0	0.0	0.0	0.407	0.0	0.052
10	-0.6919789746093773	0.364	0.0	0.112	0.096	0.0	0.427	0.0	0.001
11	-0.8507447460937522	0.846	0.002	0.001	0.011	0.015	0.082	0.043	0.0
12	-0.8766990820312522	0.752	0.0	0.0	0.0	0.0	0.247	0.0	0.001
13	-0.8847578710937525	0.62	0.0	0.0	0.0	0.0	0.228	0.0	0.152
14	-0.9055862402343768	0.626	0.0	0.0	0.0	0.0	0.0	0.0	0.374
15	-0.9269529980468786	0.546	0.0	0.0	0.0	0.0	0.139	0.0	0.315
16	-0.565998359375001	0.621	0.0	0.0	0.378	0.0	0.001	0.0	0.0
17	-0.9086426953125032	0.428	0.0	0.0	0.0	0.0	0.19	0.0	0.382
18	-0.2342046875	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
19	-0.19696890624999994	0.034	0.0	0.0	0.0	0.962	0.004	0.0	0.0
20	-0.9179791992187536	0.407	0.0	0.0	0.0	0.0	0.267	0.0	0.326
21	-0.6748607714843771	0.703	0.176	0.01	0.0	0.003	0.095	0.013	0.0
22	-0.957398837890624	0.547	0.0	0.0	0.0	0.001	0.213	0.237	0.002
