Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.341173564453125	0.269	0.035	0.084	0.253	0.138	0.013	0.141	0.067
2	-0.2680809863281255	0.192	0.157	0.097	0.266	0.152	0.06	0.066	0.01
3	-0.2590180761718772	0.205	0.191	0.109	0.227	0.111	0.001	0.151	0.005
4	-0.49757439453125196	0.281	0.011	0.081	0.254	0.139	0.011	0.146	0.077
5	-0.5231924414062518	0.282	0.009	0.081	0.254	0.139	0.01	0.146	0.079
6	-0.45533841796875507	0.291	0.02	0.012	0.221	0.121	0.067	0.137	0.131
7	-0.3882756738281258	0.251	0.016	0.043	0.148	0.143	0.014	0.079	0.306
8	-0.552303359375001	0.342	0.007	0.106	0.244	0.072	0.004	0.133	0.092
9	-0.4101665722656252	0.269	0.044	0.041	0.174	0.19	0.101	0.134	0.047
10	-0.40816559570312416	0.309	0.03	0.066	0.166	0.108	0.095	0.157	0.069
11	-0.5052226562500011	0.24	0.01	0.084	0.26	0.128	0.014	0.221	0.043
12	-0.42647402343749996	0.328	0.034	0.066	0.308	0.123	0.02	0.115	0.006
13	-0.46709727539062973	0.293	0.02	0.001	0.219	0.122	0.078	0.134	0.133
14	-0.5648350683593759	0.479	0.002	0.036	0.296	0.021	0.028	0.137	0.001
15	-0.5511008203125014	0.502	0.004	0.026	0.147	0.043	0.004	0.274	0.0
16	-0.5570550683593757	0.702	0.004	0.051	0.115	0.049	0.016	0.063	0.0
17	-0.452020205078126	0.16	0.011	0.004	0.226	0.02	0.075	0.503	0.001
18	-0.5025172167968753	0.627	0.014	0.091	0.126	0.036	0.006	0.1	0.0
19	-0.5629004101562505	0.466	0.014	0.028	0.24	0.073	0.031	0.146	0.002
20	-0.5641857714843758	0.541	0.006	0.023	0.257	0.058	0.037	0.078	-0.0
21	-0.19330333984374895	0.019	0.027	0.827	0.013	0.013	0.007	0.093	0.001
22	-0.6114808593749995	0.565	0.009	0.058	0.222	0.016	0.001	0.129	0.0
23	-0.4954902734375022	0.665	0.023	0.014	0.206	0.008	0.018	0.066	0.0
24	-0.7356572851562503	0.677	0.0	0.146	0.017	0.011	0.016	0.133	0.0
25	-0.20810699218750012	0.046	0.002	0.003	0.006	0.892	0.026	0.026	-0.001
26	-0.24064674804687491	0.011	0.033	0.002	0.098	0.004	0.768	0.082	0.002
27	-0.7615968554687497	0.678	0.0	0.152	0.0	0.0	0.0	0.17	0.0
28	-0.6727302343749999	0.612	0.004	0.187	0.018	0.023	0.041	0.113	0.002
29	-0.3305843749999994	0.089	0.0	0.071	0.727	0.002	0.0	0.11	0.001
30	-0.8149532519531217	0.578	0.036	0.097	0.0	0.015	0.011	0.262	0.001
31	-0.9187303613281176	0.514	0.018	0.075	0.0	0.051	0.004	0.337	0.001
32	-0.25018977539062487	0.065	0.001	0.208	0.005	0.013	0.025	0.683	0.0
33	-0.9568488281249934	0.476	0.055	0.001	0.012	0.107	0.001	0.349	-0.001
34	-0.9541624023437436	0.442	0.047	0.006	0.016	0.1	0.006	0.379	0.004
35	-0.9555937792968698	0.422	0.006	0.009	0.009	0.036	0.004	0.514	0.0
36	-0.12120591796875015	0.023	0.97	0.0	0.0	0.0	0.007	0.0	0.0
37	-0.8578059277343698	0.389	0.083	0.006	0.005	0.006	0.087	0.425	-0.001
38	-0.9002657519531182	0.307	0.048	0.002	0.013	0.18	0.001	0.447	0.002
39	-0.9360056542968711	0.35	0.0	0.0	0.0	0.04	0.094	0.516	0.0
40	-0.7450969726562459	0.32	0.099	0.0	0.022	0.021	0.0	0.534	0.004
41	-0.9335005566406204	0.421	0.0	0.005	0.0	0.137	0.001	0.436	0.0
42	-0.635037949218749	0.119	0.0	0.0	0.0	0.388	0.046	0.447	0.0
43	-0.8766990820312522	0.462	0.0	0.005	0.0	0.0	0.524	0.009	0.0
44	-0.9305153613281198	0.385	0.005	0.001	0.001	0.155	0.067	0.386	0.0
45	-0.9865423339843703	0.422	0.016	0.008	0.0	0.02	0.24	0.294	0.0
