ID	Elements	Generation	Position	Activity	Region	Visited
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.    0.143 0.143]	-0.4254946875000007	0	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.    0.143]	-0.3075255664062482	2	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.143 0.   ]	-0.2143941015625009	4	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.    0.143 0.143 0.143 0.143 0.143 0.143 0.143]	-0.1418649218750006	0	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.    0.143 0.143 0.143 0.143 0.143]	-0.2757961132812505	38	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.113 0.327 0.192 0.046 0.013 0.111 0.041 0.156]	-0.6361019238281217	279	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.188 0.031 0.163 0.105 0.144 0.073 0.18  0.115]	-0.399796884765624	308	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.072 0.194 0.057 0.166 0.285 0.076 0.067 0.083]	-0.2414835937499995	278	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.086 0.12  0.226 0.185 0.062 0.021 0.12  0.181]	-0.4424214843750008	271	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.016 0.108 0.133 0.178 0.083 0.139 0.24  0.104]	-0.1262893945312508	217	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.107 0.245 0.071 0.017 0.122 0.205 0.035 0.197]	-0.3134713476562507	253	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.079 0.277 0.133 0.034 0.012 0.132 0.196 0.139]	-0.3468735156250019	255	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.061 0.243 0.287 0.099 0.157 0.019 0.061 0.072]	-0.2001218749999995	290	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.063 0.401 0.131 0.092 0.092 0.081 0.064 0.079]	-0.1971215917968746	282	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.201 0.237 0.044 0.109 0.015 0.097 0.209 0.085]	-0.5902546484375011	404	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.044 0.362 0.183 0.037 0.144 0.    0.004 0.223]	-0.2589011132812507	170	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.287 0.065 0.279 0.069 0.068 0.021 0.069 0.137]	-0.6907088867187501	392	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.033 0.37  0.001 0.087 0.167 0.094 0.091 0.157]	-0.1850718554687496	143	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.075 0.004 0.323 0.127 0.046 0.178 0.08  0.17 ]	-0.231497392578124	264	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.001 0.317 0.208 0.025 0.024 0.126 0.243 0.058]	-0.20805458984375	293	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.155 0.094 0.214 0.15  0.104 0.079 0.091 0.111]	-0.3922069726562501	395	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.186 0.088 0.196 0.058 0.149 0.171 0.075 0.08 ]	-0.2661365234374989	309	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.246 0.105 0.199 0.188 0.033 0.089 0.046 0.094]	-0.5263237207031264	395	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.203 0.149 0.202 0.116 0.097 0.07  0.094 0.072]	-0.4980437988281264	402	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.19  0.122 0.139 0.2   0.105 0.004 0.062 0.177]	-0.4440112011718779	311	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.195 0.199 0.274 0.05  0.026 0.038 0.089 0.125]	-0.8667017773437483	402	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.071 0.073 0.259 0.038 0.141 0.206 0.104 0.103]	-0.2406759374999989	276	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.183 0.161 0.114 0.128 0.209 0.02  0.049 0.135]	-0.4275734082031245	405	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.242 0.151 0.217 0.117 0.057 0.024 0.098 0.098]	-0.5497749511718744	402	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.189 0.126 0.197 0.12  0.04  0.077 0.169 0.084]	-0.5165353125000001	393	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.069 0.295 0.171 0.023 0.104 0.153 0.043 0.136]	-0.257444404296875	291	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.195 0.268 0.194 0.002 0.017 0.041 0.143 0.142]	-0.9083901269531264	359	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.095 0.264 0.29  0.051 0.078 0.002 0.057 0.161]	-0.596060771484374	279	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.101 0.406 0.224 0.059 0.001 0.071 0.085 0.058]	-0.651940244140624	282	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.202 0.239 0.183 0.016 0.019 0.048 0.191 0.104]	-0.8523024902343762	359	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.129 0.302 0.155 0.122 0.021 0.011 0.069 0.185]	-0.5758408300781253	279	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.273 0.121 0.294 0.067 0.073 0.011 0.061 0.095]	-0.7278845019531259	402	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.084 0.293 0.152 0.07  0.01  0.114 0.146 0.131]	-0.3692793066406273	293	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.176 0.025 0.363 0.085 0.006 0.118 0.02  0.211]	-0.4752738085937514	339	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.117 0.331 0.252 0.002 0.046 0.083 0.165 0.005]	-0.5950674023437491	293	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.209 0.169 0.178 0.03  0.075 0.005 0.173 0.155]	-0.7462131542968731	359	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.095 0.154 0.276 0.141 0.113 0.121 0.05  0.053]	-0.2621526757812502	289	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.209 0.097 0.18  0.149 0.01  0.094 0.156 0.1  ]	-0.535925175781253	312	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.273 0.19  0.145 0.056 0.074 0.097 0.123 0.048]	-0.5888126464843749	402	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.104 0.268 0.175 0.182 0.071 0.037 0.007 0.158]	-0.4647584863281255	196	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.237 0.1   0.293 0.055 0.038 0.013 0.142 0.115]	-0.7379105957031254	393	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.069 0.178 0.19  0.015 0.156 0.16  0.103 0.122]	-0.2536765136718747	201	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.236 0.154 0.158 0.062 0.148 0.029 0.016 0.197]	-0.477079248046875	360	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.21  0.141 0.178 0.069 0.088 0.02  0.159 0.138]	-0.6353935449218738	359	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.234 0.145 0.199 0.134 0.04  0.068 0.073 0.11 ]	-0.5274730664062495	402	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.143 0.249 0.092 0.025 0.021 0.175 0.084 0.205]	-0.3981215136718772	368	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.221 0.277 0.187 0.007 0.026 0.027 0.122 0.136]	-0.9111193847656248	402	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.119 0.278 0.247 0.046 0.002 0.053 0.143 0.108]	-0.6809300585937493	293	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.125 0.372 0.196 0.008 0.056 0.028 0.097 0.124]	-0.6501336230468721	282	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.203 0.232 0.167 0.025 0.002 0.054 0.175 0.146]	-0.8527752539062492	359	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.139 0.319 0.167 0.116 0.031 0.    0.073 0.144]	-0.6055096777343747	360	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.274 0.139 0.247 0.039 0.07  0.019 0.123 0.086]	-0.7425189843749995	402	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.066 0.221 0.206 0.063 0.015 0.139 0.131 0.16 ]	-0.2202549121093757	203	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.246 0.054 0.327 0.059 0.007 0.087 0.047 0.179]	-0.7723900195312516	392	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.068 0.278 0.279 0.012 0.015 0.091 0.21  0.049]	-0.3049380371093753	293	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.215 0.233 0.241 0.017 0.01  0.028 0.122 0.128]	-0.8966100000000007	402	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.147 0.138 0.309 0.022 0.167 0.101 0.056 0.063]	-0.4243229003906263	357	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.231 0.11  0.137 0.125 0.038 0.072 0.154 0.127]	-0.53993421875	393	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.311 0.239 0.113 0.051 0.069 0.069 0.121 0.031]	-0.8323190039062452	404	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.011 0.283 0.21  0.108 0.079 0.11  0.033 0.168]	-0.1895500976562493	279	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.249 0.116 0.277 0.02  0.014 0.061 0.164 0.088]	-0.7857995410156281	393	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.033 0.234 0.262 0.024 0.121 0.052 0.143 0.13 ]	-0.2052334277343748	293	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.296 0.212 0.169 0.081 0.073 0.    0.055 0.115]	-0.7649250097656197	402	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.308 0.244 0.159 0.    0.067 0.002 0.092 0.135]	-0.8616331347656219	402	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.241 0.181 0.244 0.033 0.064 0.041 0.034 0.164]	-0.7728595996093729	360	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.19  0.235 0.109 0.033 0.006 0.162 0.058 0.204]	-0.4920011523437535	368	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.188 0.237 0.185 0.037 0.039 0.038 0.138 0.141]	-0.8522946386718719	360	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.106 0.322 0.22  0.003 0.062 0.009 0.109 0.162]	-0.6441083105468729	279	True
