Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.011
5	0.013
6	0.013
7	0.016
8	0.018
9	0.018
10	0.02
11	0.022
12	0.022
13	0.024
14	0.024
15	0.027
16	0.027
17	0.029
18	0.031
19	0.031
20	0.033
21	0.036
22	0.036
23	0.036
24	0.036
25	0.036
26	0.038
27	0.04
28	0.042
29	0.044
30	0.047
31	0.047
32	0.049
33	0.051
34	0.051
35	0.053
36	0.056
37	0.058
38	0.058
39	0.058
40	0.06
41	0.062
42	0.062
43	0.064
44	0.067
45	0.069
46	0.071
47	0.071
48	0.073
49	0.073
50	0.076
51	0.078
52	0.078
53	0.078
54	0.08
55	0.08
56	0.08
57	0.082
58	0.082
59	0.084
60	0.084
61	0.084
62	0.084
63	0.084
64	0.087
65	0.087
66	0.089
67	0.089
68	0.091
69	0.093
70	0.096
71	0.096
72	0.098
73	0.1
74	0.102
75	0.104
76	0.107
77	0.107
78	0.107
79	0.107
80	0.109
81	0.109
82	0.111
83	0.113
84	0.116
85	0.116
86	0.118
87	0.12
88	0.122
89	0.122
90	0.124
91	0.127
92	0.129
93	0.131
94	0.133
95	0.133
96	0.133
97	0.133
98	0.136
99	0.136
100	0.136
101	0.138
102	0.138
103	0.14
104	0.142
105	0.144
106	0.144
107	0.147
108	0.149
109	0.149
110	0.151
111	0.153
112	0.156
113	0.156
114	0.158
115	0.16
116	0.162
117	0.164
118	0.164
119	0.167
120	0.167
121	0.167
122	0.167
123	0.169
124	0.171
125	0.173
126	0.173
127	0.173
128	0.176
129	0.178
130	0.178
131	0.178
132	0.178
133	0.178
134	0.178
135	0.178
136	0.178
137	0.18
138	0.18
139	0.18
140	0.182
141	0.182
142	0.182
143	0.182
144	0.184
145	0.184
146	0.184
147	0.184
148	0.184
149	0.184
150	0.187
151	0.187
152	0.189
153	0.191
154	0.191
155	0.191
156	0.191
157	0.193
158	0.193
159	0.196
160	0.196
161	0.196
162	0.196
163	0.198
164	0.2
165	0.2
166	0.202
167	0.204
168	0.207
169	0.207
170	0.209
171	0.209
172	0.211
173	0.211
174	0.211
175	0.213
176	0.213
177	0.216
178	0.218
179	0.218
180	0.22
181	0.222
182	0.224
183	0.224
184	0.224
185	0.224
186	0.227
187	0.229
188	0.229
189	0.231
190	0.231
191	0.231
192	0.231
193	0.231
194	0.233
195	0.233
196	0.236
197	0.236
198	0.236
199	0.236
200	0.236
201	0.236
202	0.238
203	0.24
204	0.24
205	0.24
206	0.24
207	0.24
208	0.24
209	0.242
210	0.242
211	0.242
212	0.244
213	0.247
214	0.249
215	0.249
216	0.251
217	0.251
218	0.251
219	0.253
220	0.253
221	0.253
222	0.253
223	0.256
224	0.258
225	0.258
226	0.258
227	0.258
228	0.26
229	0.262
230	0.262
231	0.262
232	0.262
233	0.262
234	0.262
235	0.264
236	0.267
237	0.269
238	0.269
239	0.269
240	0.271
241	0.273
242	0.273
243	0.273
244	0.273
245	0.276
246	0.278
247	0.278
248	0.28
249	0.28
250	0.282
251	0.282
252	0.284
253	0.287
254	0.287
255	0.287
256	0.289
257	0.289
258	0.289
259	0.291
260	0.291
261	0.291
262	0.293
263	0.296
264	0.298
265	0.298
266	0.3
267	0.3
268	0.3
269	0.3
270	0.302
271	0.302
272	0.302
273	0.304
274	0.307
275	0.307
276	0.309
277	0.309
278	0.311
279	0.311
280	0.311
281	0.313
282	0.316
283	0.316
284	0.316
285	0.316
286	0.316
287	0.316
288	0.316
289	0.316
290	0.316
291	0.316
292	0.316
293	0.316
294	0.316
295	0.316
296	0.318
297	0.32
298	0.32
299	0.32
