Generation	min_value
0	-0.6361019238281217
1	-0.6361019238281217
2	-0.7607533886718718
3	-0.9034529589843762
4	-0.9073242968749998
5	-0.9096181640625008
6	-0.9980299609374992
7	-0.9980299609374992
8	-0.9980967968749974
9	-0.9980967968749974
10	-0.9980967968749974
11	-1.0274193164062468
12	-1.0274193164062468
13	-1.0274193164062468
14	-1.0274193164062468
15	-1.0274193164062468
16	-1.0274193164062468
17	-1.0274193164062468
18	-1.0274193164062468
19	-1.0274193164062468
20	-1.0274193164062468
21	-1.0274193164062468
22	-1.0274193164062468
23	-1.0274193164062468
24	-1.0274193164062468
25	-1.0274193164062468
26	-1.0274193164062468
27	-1.0290615820312496
28	-1.0290615820312496
29	-1.0290615820312496
30	-1.0393762499999974
