Generation	min_value
0	-0.6361019238281217
1	-0.7178511718750018
2	-0.8818936425781259
3	-0.8818936425781259
4	-0.9451077734375
5	-0.9451077734375
6	-0.9451077734375
7	-0.9451077734375
8	-0.9451077734375
9	-0.9451077734375
10	-0.9451077734375
11	-0.9866018164062466
12	-0.9866018164062466
13	-0.9929393847656252
14	-1.002460458984375
15	-1.002460458984375
16	-1.0055728320312467
17	-1.0055728320312467
18	-1.0055728320312467
19	-1.0055728320312467
20	-1.0055728320312467
21	-1.0055728320312467
22	-1.0055728320312467
23	-1.053258291015622
24	-1.053258291015622
25	-1.053258291015622
26	-1.053258291015622
27	-1.053258291015622
28	-1.053258291015622
29	-1.053258291015622
30	-1.053258291015622
