Generation	Distance
0	0.047
1	0.047
2	0.047
3	0.047
4	0.047
5	0.047
6	0.047
7	0.047
8	0.047
9	0.047
10	0.047
11	0.047
12	0.047
13	0.047
14	0.047
15	0.047
16	0.047
17	0.047
18	0.047
19	0.047
20	0.047
21	0.047
22	0.047
23	0.047
24	0.047
25	0.047
26	0.047
27	0.047
28	0.047
29	0.047
30	0.047
31	0.047
32	0.047
33	0.047
34	0.047
35	0.047
36	0.047
37	0.047
38	0.047
39	0.047
40	0.047
41	0.047
42	0.047
43	0.047
44	0.047
45	0.047
46	0.047
47	0.047
48	0.047
49	0.047
50	0.047
51	0.047
52	0.047
53	0.047
54	0.047
55	0.047
56	0.047
57	0.047
58	0.047
59	0.047
60	0.047
61	0.047
62	0.047
63	0.047
64	0.047
65	0.047
66	0.047
67	0.047
68	0.047
69	0.047
70	0.047
71	0.047
72	0.047
73	0.047
74	0.047
75	0.047
76	0.047
77	0.047
78	0.047
79	0.047
80	0.047
81	0.047
82	0.047
83	0.047
84	0.047
85	0.047
86	0.047
87	0.047
88	0.047
89	0.047
90	0.047
91	0.047
92	0.047
93	0.047
94	0.047
95	0.047
96	0.047
97	0.047
98	0.047
99	0.047
100	0.047
101	0.047
102	0.047
103	0.047
104	0.047
105	0.047
106	0.047
107	0.047
108	0.047
109	0.047
110	0.047
111	0.047
112	0.047
113	0.047
114	0.047
115	0.047
116	0.047
117	0.047
118	0.047
119	0.047
120	0.047
121	0.047
122	0.047
123	0.047
124	0.047
125	0.047
126	0.047
127	0.047
128	0.047
129	0.047
130	0.047
131	0.047
132	0.047
133	0.047
134	0.047
135	0.047
136	0.047
137	0.047
138	0.047
139	0.047
140	0.047
141	0.047
142	0.047
143	0.047
144	0.047
145	0.047
146	0.047
147	0.047
148	0.047
149	0.047
150	0.047
151	0.047
152	0.047
153	0.047
154	0.047
155	0.047
156	0.047
157	0.047
158	0.047
159	0.047
160	0.047
161	0.047
162	0.047
163	0.047
164	0.047
165	0.047
166	0.047
167	0.047
168	0.047
169	0.047
170	0.047
171	0.047
172	0.047
173	0.047
174	0.047
175	0.047
176	0.047
177	0.047
178	0.047
179	0.047
180	0.047
181	0.047
182	0.047
183	0.047
184	0.047
185	0.047
186	0.047
187	0.047
188	0.047
189	0.047
190	0.047
191	0.047
192	0.047
193	0.047
194	0.047
195	0.047
196	0.047
197	0.047
198	0.047
199	0.047
200	0.047
201	0.047
202	0.047
203	0.047
204	0.047
205	0.047
206	0.047
207	0.047
208	0.047
209	0.047
210	0.047
211	0.047
212	0.047
213	0.047
214	0.047
215	0.047
216	0.047
217	0.047
218	0.047
219	0.047
220	0.047
221	0.047
222	0.047
223	0.047
224	0.047
225	0.047
226	0.047
227	0.047
228	0.047
229	0.047
230	0.047
231	0.047
232	0.047
233	0.047
234	0.047
235	0.047
236	0.047
237	0.047
238	0.047
239	0.047
240	0.047
241	0.047
242	0.047
243	0.047
244	0.047
245	0.047
246	0.047
247	0.047
248	0.047
249	0.047
250	0.047
251	0.047
252	0.047
253	0.047
254	0.047
255	0.047
256	0.047
257	0.047
258	0.047
259	0.047
260	0.047
261	0.047
262	0.047
263	0.047
264	0.047
265	0.047
266	0.047
267	0.047
268	0.047
269	0.047
270	0.047
271	0.047
272	0.047
273	0.047
274	0.047
275	0.047
276	0.047
277	0.047
278	0.047
279	0.047
280	0.047
281	0.047
282	0.047
283	0.047
284	0.047
285	0.047
286	0.047
287	0.047
288	0.047
289	0.047
290	0.047
291	0.047
292	0.047
293	0.047
294	0.047
295	0.047
296	0.047
297	0.047
298	0.047
299	0.047
