Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.009
5	0.011
6	0.013
7	0.016
8	0.018
9	0.02
10	0.022
11	0.024
12	0.027
13	0.029
14	0.031
15	0.033
16	0.036
17	0.036
18	0.038
19	0.038
20	0.038
21	0.04
22	0.04
23	0.042
24	0.044
25	0.047
26	0.049
27	0.049
28	0.049
29	0.051
30	0.053
31	0.056
32	0.058
33	0.06
34	0.062
35	0.062
36	0.062
37	0.064
38	0.067
39	0.069
40	0.069
41	0.071
42	0.071
43	0.071
44	0.071
45	0.071
46	0.073
47	0.073
48	0.073
49	0.076
50	0.078
51	0.078
52	0.08
53	0.08
54	0.08
55	0.082
56	0.084
57	0.087
58	0.087
59	0.089
60	0.089
61	0.091
62	0.093
63	0.096
64	0.098
65	0.098
66	0.1
67	0.102
68	0.104
69	0.104
70	0.107
71	0.109
72	0.109
73	0.111
74	0.111
75	0.111
76	0.111
77	0.111
78	0.113
79	0.113
80	0.113
81	0.113
82	0.116
83	0.116
84	0.116
85	0.116
86	0.118
87	0.118
88	0.12
89	0.122
90	0.124
91	0.127
92	0.129
93	0.131
94	0.133
95	0.136
96	0.138
97	0.14
98	0.142
99	0.142
100	0.144
101	0.147
102	0.149
103	0.149
104	0.151
105	0.153
106	0.156
107	0.158
108	0.158
109	0.158
110	0.158
111	0.16
112	0.16
113	0.162
114	0.162
115	0.164
116	0.164
117	0.167
118	0.167
119	0.167
120	0.167
121	0.167
122	0.169
123	0.171
124	0.171
125	0.173
126	0.176
127	0.176
128	0.178
129	0.178
130	0.178
131	0.178
132	0.178
133	0.178
134	0.18
135	0.182
136	0.182
137	0.184
138	0.187
139	0.187
140	0.187
141	0.187
142	0.189
143	0.189
144	0.189
145	0.189
146	0.189
147	0.191
148	0.191
149	0.193
150	0.193
151	0.196
152	0.198
153	0.2
154	0.202
155	0.204
156	0.207
157	0.207
158	0.209
159	0.209
160	0.209
161	0.211
162	0.211
163	0.213
164	0.213
165	0.216
166	0.218
167	0.22
168	0.222
169	0.224
170	0.224
171	0.224
172	0.227
173	0.229
174	0.231
175	0.233
176	0.236
177	0.236
178	0.238
179	0.24
180	0.242
181	0.242
182	0.242
183	0.244
184	0.244
185	0.247
186	0.247
187	0.247
188	0.249
189	0.249
190	0.249
191	0.249
192	0.249
193	0.251
194	0.253
195	0.253
196	0.253
197	0.253
198	0.253
199	0.256
200	0.256
201	0.256
202	0.256
203	0.258
204	0.26
205	0.26
206	0.26
207	0.26
208	0.26
209	0.26
210	0.26
211	0.26
212	0.26
213	0.26
214	0.26
215	0.26
216	0.26
217	0.26
218	0.262
219	0.262
220	0.262
221	0.262
222	0.262
223	0.262
224	0.264
225	0.264
226	0.264
227	0.267
228	0.267
229	0.267
230	0.267
231	0.267
232	0.267
233	0.269
234	0.269
235	0.269
236	0.269
237	0.269
238	0.269
239	0.269
240	0.271
241	0.271
242	0.271
243	0.271
244	0.273
245	0.273
246	0.276
247	0.278
248	0.28
249	0.282
250	0.282
251	0.284
252	0.284
253	0.287
254	0.287
255	0.287
256	0.287
257	0.287
258	0.289
259	0.291
260	0.293
261	0.296
262	0.296
263	0.296
264	0.298
265	0.298
266	0.298
267	0.298
268	0.298
269	0.298
270	0.298
271	0.298
272	0.298
273	0.298
274	0.298
275	0.3
276	0.302
277	0.302
278	0.302
279	0.302
280	0.302
281	0.304
282	0.304
283	0.304
284	0.304
285	0.307
286	0.307
287	0.307
288	0.307
289	0.307
290	0.309
291	0.309
292	0.309
293	0.309
294	0.309
295	0.309
296	0.309
297	0.309
298	0.309
299	0.309
