Generation	min_value
0	-0.4336163281250018
1	-0.6159531054687494
2	-0.6159531054687494
3	-0.7301104980468737
4	-0.7301104980468737
5	-0.7301104980468737
6	-0.7301104980468737
7	-0.7684674902343754
8	-0.8702327636718754
9	-0.8932633007812507
10	-0.8932633007812507
11	-0.8932633007812507
12	-0.8932633007812507
13	-0.9656604980468692
14	-0.9656604980468692
15	-0.9656604980468692
16	-0.9656604980468692
17	-0.9656604980468692
18	-0.9682614062499966
19	-0.9682614062499966
20	-0.9776882714843708
21	-0.9776882714843708
22	-0.9776882714843708
23	-0.9776882714843708
24	-0.9776882714843708
25	-0.9776882714843708
26	-0.9776882714843708
27	-0.9776882714843708
28	-0.9776882714843708
29	-0.9776882714843708
30	-0.9776882714843708
31	-0.9776882714843708
32	-0.9776882714843708
33	-0.9776882714843708
34	-0.9793057812499956
35	-0.9793057812499956
36	-1.028928798828123
37	-1.028928798828123
38	-1.028928798828123
39	-1.028928798828123
40	-1.028928798828123
41	-1.028928798828123
42	-1.028928798828123
43	-1.028928798828123
44	-1.028928798828123
45	-1.028928798828123
46	-1.028928798828123
47	-1.028928798828123
48	-1.028928798828123
49	-1.028928798828123
50	-1.028928798828123
51	-1.028928798828123
52	-1.028928798828123
53	-1.028928798828123
54	-1.028928798828123
55	-1.028928798828123
56	-1.028928798828123
57	-1.028928798828123
58	-1.028928798828123
59	-1.028928798828123
60	-1.028928798828123
61	-1.028928798828123
62	-1.028928798828123
63	-1.028928798828123
64	-1.028928798828123
65	-1.028928798828123
66	-1.028928798828123
67	-1.028928798828123
68	-1.028928798828123
69	-1.028928798828123
70	-1.028928798828123
71	-1.028928798828123
72	-1.028928798828123
73	-1.028928798828123
74	-1.028928798828123
75	-1.028928798828123
76	-1.028928798828123
77	-1.028928798828123
78	-1.028928798828123
79	-1.028928798828123
80	-1.028928798828123
81	-1.028928798828123
82	-1.028928798828123
83	-1.028928798828123
84	-1.028928798828123
85	-1.028928798828123
86	-1.028928798828123
87	-1.028928798828123
88	-1.028928798828123
89	-1.028928798828123
90	-1.028928798828123
91	-1.028928798828123
92	-1.028928798828123
93	-1.028928798828123
94	-1.028928798828123
95	-1.028928798828123
96	-1.028928798828123
97	-1.028928798828123
98	-1.028928798828123
99	-1.028928798828123
100	-1.028928798828123
101	-1.028928798828123
102	-1.028928798828123
103	-1.028928798828123
104	-1.028928798828123
105	-1.028928798828123
106	-1.028928798828123
107	-1.028928798828123
108	-1.0361176757812491
109	-1.0361176757812491
110	-1.0361779589843745
111	-1.0361779589843745
112	-1.0361779589843745
113	-1.0361779589843745
114	-1.0361779589843745
115	-1.0361779589843745
116	-1.0361779589843745
117	-1.0361779589843745
118	-1.0361779589843745
119	-1.0361779589843745
120	-1.0361779589843745
121	-1.0361779589843745
122	-1.0361779589843745
123	-1.0361779589843745
124	-1.0361779589843745
125	-1.0361779589843745
126	-1.0361779589843745
127	-1.0361779589843745
128	-1.0361779589843745
129	-1.0361779589843745
130	-1.0361779589843745
131	-1.0361779589843745
132	-1.0361779589843745
133	-1.0361779589843745
134	-1.0361779589843745
135	-1.0361779589843745
136	-1.0361779589843745
137	-1.0361779589843745
138	-1.0361779589843745
139	-1.0361779589843745
140	-1.0361779589843745
141	-1.0361779589843745
142	-1.0361779589843745
143	-1.0361779589843745
144	-1.0361779589843745
145	-1.079483837890622
146	-1.079483837890622
147	-1.079483837890622
148	-1.079483837890622
149	-1.079483837890622
150	-1.079483837890622
151	-1.079483837890622
152	-1.079483837890622
153	-1.079483837890622
154	-1.079483837890622
155	-1.079483837890622
156	-1.079483837890622
157	-1.079483837890622
158	-1.079483837890622
159	-1.079483837890622
160	-1.079483837890622
161	-1.079483837890622
162	-1.079483837890622
163	-1.079483837890622
164	-1.079483837890622
165	-1.079483837890622
166	-1.079483837890622
167	-1.079483837890622
168	-1.079483837890622
169	-1.079483837890622
170	-1.079483837890622
171	-1.079483837890622
172	-1.079483837890622
173	-1.079483837890622
174	-1.079483837890622
175	-1.079483837890622
176	-1.079483837890622
177	-1.079483837890622
178	-1.079483837890622
179	-1.079483837890622
180	-1.079483837890622
181	-1.079483837890622
182	-1.079483837890622
183	-1.079483837890622
184	-1.079483837890622
185	-1.079483837890622
186	-1.079483837890622
187	-1.079483837890622
188	-1.079483837890622
189	-1.079483837890622
190	-1.079483837890622
191	-1.079483837890622
192	-1.079483837890622
193	-1.079483837890622
194	-1.079483837890622
195	-1.079483837890622
196	-1.079483837890622
197	-1.079483837890622
198	-1.079483837890622
199	-1.079483837890622
200	-1.079483837890622
201	-1.079483837890622
202	-1.079483837890622
203	-1.079483837890622
204	-1.079483837890622
205	-1.079483837890622
206	-1.079483837890622
207	-1.079483837890622
208	-1.079483837890622
209	-1.079483837890622
210	-1.079483837890622
211	-1.079483837890622
212	-1.079483837890622
213	-1.079483837890622
214	-1.079483837890622
215	-1.079483837890622
216	-1.079483837890622
217	-1.079483837890622
218	-1.079483837890622
219	-1.079483837890622
220	-1.079483837890622
221	-1.079483837890622
222	-1.079483837890622
223	-1.079483837890622
224	-1.079483837890622
225	-1.079483837890622
226	-1.079483837890622
227	-1.079483837890622
228	-1.079483837890622
229	-1.079483837890622
230	-1.079483837890622
231	-1.079483837890622
232	-1.079483837890622
233	-1.079483837890622
234	-1.079483837890622
235	-1.079483837890622
236	-1.079483837890622
237	-1.079483837890622
238	-1.079483837890622
239	-1.079483837890622
240	-1.079483837890622
241	-1.079483837890622
242	-1.079483837890622
243	-1.079483837890622
244	-1.079483837890622
245	-1.079483837890622
246	-1.079483837890622
247	-1.079483837890622
248	-1.079483837890622
249	-1.079483837890622
250	-1.079483837890622
251	-1.079483837890622
252	-1.079483837890622
253	-1.079483837890622
254	-1.079483837890622
255	-1.079483837890622
256	-1.079483837890622
257	-1.079483837890622
258	-1.079483837890622
259	-1.079483837890622
260	-1.079483837890622
261	-1.079483837890622
262	-1.079483837890622
263	-1.079483837890622
264	-1.079483837890622
265	-1.079483837890622
266	-1.079483837890622
267	-1.079483837890622
268	-1.079483837890622
269	-1.079483837890622
270	-1.079483837890622
271	-1.079483837890622
272	-1.079483837890622
273	-1.079483837890622
274	-1.079483837890622
275	-1.079483837890622
276	-1.079483837890622
277	-1.079483837890622
278	-1.079483837890622
279	-1.079483837890622
280	-1.079483837890622
281	-1.079483837890622
282	-1.079483837890622
283	-1.079483837890622
284	-1.079483837890622
285	-1.079483837890622
286	-1.079483837890622
287	-1.079483837890622
288	-1.079483837890622
289	-1.079483837890622
290	-1.079483837890622
291	-1.079483837890622
292	-1.079483837890622
293	-1.079483837890622
294	-1.079483837890622
295	-1.079483837890622
296	-1.079483837890622
297	-1.079483837890622
298	-1.079483837890622
299	-1.079483837890622
