Generation	min_value
0	-0.604534882812497
1	-0.604534882812497
2	-0.6135652050781216
3	-0.719242148437496
4	-0.8327756542968705
5	-0.8413397265624994
6	-0.8413397265624994
7	-0.8413397265624994
8	-0.8413397265624994
9	-0.9373117187499952
10	-0.9373117187499952
11	-0.9373117187499952
12	-0.9534850195312462
13	-0.9534850195312462
14	-0.9534850195312462
15	-0.9827754199218716
16	-0.9827754199218716
17	-0.9827754199218716
18	-0.9827754199218716
19	-0.9827754199218716
20	-0.9827754199218716
21	-0.9827754199218716
22	-0.9827754199218716
23	-0.9827754199218716
24	-0.9827754199218716
25	-0.9977608593749968
26	-0.9977608593749968
27	-0.9977608593749968
28	-0.9977608593749968
29	-0.9977608593749968
30	-0.9977608593749968
31	-0.9977608593749968
32	-0.9977608593749968
33	-0.9977608593749968
34	-0.9977608593749968
35	-0.9977608593749968
36	-0.9977608593749968
37	-0.9977608593749968
38	-1.0018555175781216
39	-1.0018555175781216
40	-1.0018555175781216
41	-1.0018555175781216
42	-1.0018555175781216
43	-1.0018555175781216
44	-1.0018555175781216
45	-1.0018555175781216
46	-1.0018555175781216
47	-1.0018555175781216
48	-1.0018555175781216
49	-1.0018555175781216
50	-1.0018555175781216
51	-1.0018555175781216
52	-1.0018555175781216
53	-1.0018555175781216
54	-1.0018555175781216
55	-1.0018555175781216
56	-1.0018555175781216
57	-1.0018555175781216
58	-1.0018555175781216
59	-1.0018555175781216
60	-1.0018555175781216
61	-1.0018555175781216
62	-1.0018555175781216
63	-1.0018555175781216
64	-1.0018555175781216
65	-1.0018555175781216
66	-1.0018555175781216
67	-1.0018555175781216
68	-1.0018555175781216
69	-1.0018555175781216
70	-1.004340888671877
71	-1.004340888671877
72	-1.004340888671877
73	-1.004340888671877
74	-1.004340888671877
75	-1.004340888671877
76	-1.004409912109372
77	-1.004409912109372
78	-1.0265220410156222
79	-1.0265220410156222
80	-1.0265220410156222
81	-1.0265220410156222
82	-1.0265220410156222
83	-1.0265220410156222
84	-1.0265220410156222
85	-1.0265220410156222
86	-1.0265220410156222
87	-1.0265220410156222
88	-1.0265220410156222
89	-1.0265220410156222
90	-1.0265220410156222
91	-1.0265220410156222
92	-1.0265220410156222
93	-1.0265220410156222
94	-1.0265220410156222
95	-1.0265220410156222
96	-1.0265220410156222
97	-1.0265220410156222
98	-1.0265220410156222
99	-1.0265220410156222
100	-1.0265220410156222
101	-1.0265220410156222
102	-1.0265220410156222
103	-1.0265220410156222
104	-1.0265220410156222
105	-1.0265220410156222
106	-1.0265220410156222
107	-1.0265220410156222
108	-1.0265220410156222
109	-1.0265220410156222
110	-1.0265220410156222
111	-1.0271495507812465
112	-1.0271495507812465
113	-1.0271495507812465
