Elements	Point	Region	Count	First visit
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.425 0.025]	37	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.225 0.225]	38	5	4.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.025 0.425]	39	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.625 0.025]	40	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.425 0.225]	41	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.025 0.025 0.625]	42	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.025 0.625]	43	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.825 0.025 0.025 0.025 0.025 0.025]	44	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.625 0.225 0.025 0.025 0.025 0.025]	45	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.625 0.025 0.225 0.025 0.025 0.025]	46	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.625 0.025 0.025 0.225 0.025 0.025]	47	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.625 0.025 0.025 0.025 0.225 0.025]	48	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.625 0.025 0.025 0.025 0.025 0.225]	49	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.425 0.025 0.025 0.025 0.025]	50	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.025 0.025 0.425]	51	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.025 0.225 0.225]	52	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.025 0.425 0.025]	53	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.225 0.025 0.225]	54	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.225 0.225 0.025]	55	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.025 0.425 0.025 0.025]	56	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.425 0.225 0.025 0.025 0.025]	57	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.225 0.025 0.025 0.225]	58	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.225 0.225 0.025 0.025]	59	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.425 0.025 0.025 0.025]	60	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.225 0.025 0.025 0.025 0.225]	61	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.225 0.025 0.025 0.225 0.025]	62	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.225 0.025 0.225 0.025 0.025]	63	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.225 0.225 0.025 0.025 0.025]	64	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.425 0.025 0.225 0.025 0.225 0.025]	65	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.825 0.025 0.025 0.025 0.025]	66	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.225 0.025 0.425 0.225 0.025]	67	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.625 0.025 0.225 0.025 0.025]	68	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.425 0.425 0.025 0.025]	69	0	
