ID	Elements	Generation	Position	Activity	Region	Visited
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.    0.143 0.143]	-0.4254946875000007	0	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.    0.143]	-0.3075255664062482	2	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.143 0.   ]	-0.2143941015625009	4	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.    0.143 0.143 0.143 0.143 0.143 0.143 0.143]	-0.1418649218750006	0	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.    0.143 0.143 0.143 0.143 0.143]	-0.2757961132812505	38	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.113 0.327 0.192 0.046 0.013 0.111 0.041 0.156]	-0.6361019238281217	279	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.188 0.031 0.163 0.105 0.144 0.073 0.18  0.115]	-0.399796884765624	308	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.072 0.194 0.057 0.166 0.285 0.076 0.067 0.083]	-0.2414835937499995	278	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.086 0.12  0.226 0.185 0.062 0.021 0.12  0.181]	-0.4424214843750008	271	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.016 0.108 0.133 0.178 0.083 0.139 0.24  0.104]	-0.1262893945312508	217	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.107 0.229 0.241 0.069 0.05  0.158 0.066 0.083]	-0.3160950488281255	291	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.091 0.216 0.137 0.035 0.115 0.084 0.205 0.116]	-0.4257879003906252	293	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.196 0.298 0.216 0.059 0.014 0.086 0.053 0.078]	-0.8884692187499982	402	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.006 0.285 0.125 0.053 0.005 0.14  0.071 0.319]	-0.2131956640625003	253	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.149 0.335 0.097 0.012 0.008 0.135 0.094 0.167]	-0.4377429492187516	397	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.036 0.441 0.144 0.016 0.094 0.1   0.    0.168]	-0.2839869921874997	170	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.399 0.004 0.187 0.044 0.036 0.004 0.198 0.128]	-0.8835249414062469	421	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.06  0.4   0.111 0.054 0.148 0.059 0.012 0.159]	-0.2364779492187498	143	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.019 0.266 0.312 0.171 0.021 0.063 0.004 0.142]	-0.2131993847656256	196	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.005 0.326 0.174 0.116 0.043 0.078 0.133 0.127]	-0.1834303320312502	293	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.242 0.155 0.129 0.096 0.155 0.01  0.027 0.189]	-0.4713351269531254	371	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.174 0.213 0.097 0.21  0.04  0.186 0.031 0.047]	-0.3385191894531253	363	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.135 0.147 0.11  0.118 0.053 0.228 0.194 0.016]	-0.2365581250000009	252	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.178 0.283 0.192 0.071 0.013 0.065 0.102 0.098]	-0.8500727734374987	402	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.227 0.158 0.15  0.17  0.103 0.088 0.035 0.065]	-0.4495188085937512	356	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.184 0.255 0.269 0.087 0.012 0.09  0.011 0.092]	-0.756773701171876	402	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.221 0.036 0.235 0.024 0.105 0.037 0.182 0.162]	-0.5447158203125014	295	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.212 0.187 0.198 0.128 0.092 0.09  0.    0.095]	-0.5841775488281241	402	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.165 0.238 0.169 0.062 0.043 0.016 0.184 0.12 ]	-0.7157214160156222	359	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.202 0.174 0.182 0.13  0.043 0.141 0.13  0.002]	-0.3428654785156245	358	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.145 0.209 0.282 0.057 0.036 0.027 0.176 0.067]	-0.6925792578124983	359	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.161 0.321 0.168 0.013 0.058 0.065 0.17  0.04 ]	-0.7086754882812469	359	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.153 0.271 0.239 0.066 0.03  0.076 0.048 0.118]	-0.8004767480468731	402	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.057 0.308 0.124 0.163 0.008 0.105 0.061 0.175]	-0.2103076367187505	246	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.11  0.272 0.141 0.035 0.047 0.116 0.087 0.191]	-0.3899049316406259	279	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.08  0.439 0.136 0.086 0.059 0.101 0.024 0.075]	-0.4146713476562501	282	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.35  0.192 0.185 0.054 0.045 0.051 0.12  0.006]	-0.9192975585937446	431	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.105 0.377 0.117 0.05  0.101 0.    0.026 0.228]	-0.5478197265624987	287	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.075 0.252 0.279 0.252 0.006 0.048 0.02  0.063]	-0.2686613378906242	289	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.09  0.343 0.174 0.133 0.013 0.001 0.09  0.157]	-0.5290022460937517	170	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.344 0.176 0.147 0.006 0.113 0.001 0.061 0.151]	-0.6850336523437482	360	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.334 0.254 0.093 0.106 0.009 0.174 0.006 0.021]	-0.4367547656250022	400	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.176 0.135 0.21  0.075 0.002 0.157 0.152 0.095]	-0.4069150585937504	316	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.211 0.216 0.22  0.017 0.051 0.03  0.169 0.085]	-0.7513520605468726	359	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.306 0.159 0.17  0.116 0.003 0.077 0.137 0.031]	-0.6853354296874994	402	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.241 0.221 0.245 0.051 0.054 0.104 0.056 0.026]	-0.6221678222656241	402	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.261 0.022 0.184 0.135 0.001 0.002 0.21  0.191]	-0.5837822070312523	295	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.261 0.214 0.227 0.076 0.054 0.025 0.069 0.08 ]	-0.7459431445312468	402	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.261 0.219 0.19  0.066 0.027 0.068 0.123 0.041]	-0.778049902343749	402	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.252 0.183 0.17  0.11  0.044 0.074 0.162 0.003]	-0.566997441406249	359	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.22  0.157 0.313 0.058 0.067 0.004 0.166 0.014]	-0.7389531054687486	359	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.192 0.26  0.202 0.007 0.099 0.051 0.163 0.023]	-0.7393479003906233	359	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.274 0.327 0.224 0.042 0.005 0.    0.111 0.019]	-0.9560234570312462	402	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.058 0.261 0.171 0.216 0.001 0.117 0.062 0.114]	-0.2041961425781258	289	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.12  0.298 0.116 0.103 0.077 0.063 0.053 0.17 ]	-0.4747480761718744	397	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.152 0.442 0.084 0.12  0.039 0.069 0.038 0.053]	-0.5562161523437492	403	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.341 0.191 0.191 0.004 0.046 0.056 0.152 0.026]	-0.8440007031249969	359	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.048 0.36  0.112 0.115 0.037 0.08  0.118 0.134]	-0.2187819335937501	287	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.092 0.215 0.225 0.233 0.047 0.076 0.037 0.07 ]	-0.413077978515628	289	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.225 0.313 0.2   0.076 0.013 0.039 0.006 0.126]	-0.9130724902343708	402	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.221 0.246 0.218 0.101 0.009 0.012 0.041 0.15 ]	-0.7667891894531262	360	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.366 0.276 0.086 0.123 0.007 0.088 0.013 0.039]	-0.7279175976562492	440	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.296 0.082 0.215 0.02  0.013 0.159 0.155 0.061]	-0.4480353027343776	316	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.24  0.289 0.232 0.042 0.011 0.005 0.124 0.06 ]	-0.9489531249999972	402	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.298 0.227 0.195 0.077 0.012 0.015 0.162 0.016]	-0.8492754296874985	359	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.253 0.258 0.263 0.037 0.028 0.102 0.008 0.047]	-0.7354918359375007	402	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.243 0.109 0.196 0.138 0.012 0.002 0.199 0.107]	-0.6001939355468766	393	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.288 0.257 0.209 0.053 0.005 0.044 0.084 0.063]	-0.8652127441406252	402	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.294 0.254 0.212 0.045 0.015 0.048 0.117 0.008]	-0.900971181640626	402	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.281 0.161 0.266 0.068 0.007 0.04  0.149 0.024]	-0.8383222460937494	359	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.159 0.162 0.348 0.031 0.102 0.078 0.107 0.008]	-0.5707882128906253	355	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.239 0.206 0.302 0.046 0.01  0.035 0.129 0.032]	-0.8463890136718757	402	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.247 0.288 0.215 0.061 0.006 0.031 0.146 0.008]	-0.9245017187499982	359	True
