Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.011
5	0.011
6	0.013
7	0.016
8	0.018
9	0.02
10	0.022
11	0.024
12	0.027
13	0.027
14	0.029
15	0.031
16	0.033
17	0.033
18	0.033
19	0.033
20	0.036
21	0.038
22	0.04
23	0.042
24	0.044
25	0.044
26	0.047
27	0.047
28	0.049
29	0.051
30	0.053
31	0.053
32	0.053
33	0.053
34	0.053
35	0.053
36	0.053
37	0.053
38	0.056
39	0.056
40	0.058
41	0.058
42	0.06
43	0.06
44	0.06
45	0.06
46	0.06
47	0.062
48	0.062
49	0.062
50	0.062
51	0.062
52	0.062
53	0.062
54	0.062
55	0.064
56	0.067
57	0.067
58	0.069
59	0.069
60	0.071
61	0.073
62	0.076
63	0.076
64	0.078
65	0.08
66	0.08
67	0.082
68	0.084
69	0.084
70	0.087
71	0.087
72	0.089
73	0.091
74	0.093
75	0.096
76	0.098
77	0.1
78	0.102
79	0.104
80	0.107
81	0.109
82	0.111
83	0.113
84	0.116
85	0.116
86	0.116
87	0.118
88	0.12
89	0.122
90	0.122
91	0.124
92	0.127
93	0.129
94	0.131
95	0.131
96	0.133
97	0.136
98	0.136
99	0.138
100	0.138
101	0.14
102	0.142
103	0.142
104	0.142
105	0.142
106	0.144
107	0.144
108	0.144
109	0.144
110	0.144
111	0.147
112	0.149
113	0.149
114	0.149
115	0.151
116	0.153
117	0.156
118	0.158
119	0.158
120	0.16
121	0.162
122	0.164
123	0.167
124	0.169
125	0.169
126	0.171
127	0.173
128	0.176
129	0.178
130	0.18
131	0.18
132	0.182
133	0.182
134	0.182
135	0.182
136	0.184
137	0.187
138	0.187
139	0.187
140	0.187
141	0.187
142	0.187
143	0.189
144	0.191
145	0.191
146	0.193
147	0.193
148	0.196
149	0.198
150	0.2
151	0.202
152	0.202
153	0.204
154	0.207
155	0.207
156	0.207
157	0.207
158	0.209
159	0.211
160	0.211
161	0.211
162	0.211
163	0.211
164	0.211
165	0.211
166	0.211
167	0.213
168	0.213
169	0.213
170	0.216
171	0.216
172	0.218
173	0.218
174	0.218
175	0.22
176	0.22
177	0.22
178	0.222
179	0.224
180	0.227
181	0.227
182	0.229
183	0.229
184	0.231
185	0.231
186	0.231
187	0.233
188	0.236
189	0.236
190	0.236
191	0.236
192	0.236
193	0.238
194	0.24
195	0.24
196	0.24
197	0.242
198	0.244
199	0.247
200	0.247
201	0.247
202	0.247
203	0.249
204	0.251
205	0.253
206	0.253
207	0.253
208	0.256
209	0.256
210	0.258
211	0.258
212	0.26
213	0.262
214	0.262
215	0.264
216	0.267
217	0.267
218	0.269
219	0.271
220	0.273
221	0.276
222	0.276
223	0.276
224	0.276
225	0.276
226	0.276
227	0.276
228	0.276
229	0.276
230	0.276
231	0.276
232	0.276
233	0.276
234	0.276
235	0.278
236	0.278
237	0.278
238	0.278
239	0.278
240	0.278
241	0.278
242	0.278
243	0.278
244	0.278
245	0.278
246	0.278
247	0.278
248	0.28
249	0.282
250	0.282
251	0.284
252	0.287
253	0.287
254	0.287
255	0.287
256	0.289
257	0.289
258	0.291
259	0.293
260	0.293
261	0.296
262	0.296
263	0.296
264	0.298
265	0.298
266	0.298
267	0.3
268	0.302
269	0.304
270	0.307
271	0.309
272	0.311
273	0.313
274	0.316
275	0.316
276	0.316
277	0.316
278	0.316
279	0.318
280	0.32
281	0.32
282	0.32
283	0.322
284	0.322
285	0.322
286	0.324
287	0.324
288	0.327
289	0.329
290	0.329
291	0.329
292	0.329
293	0.331
294	0.333
295	0.333
296	0.336
297	0.336
298	0.338
299	0.34
