Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.007
4	0.009
5	0.011
6	0.013
7	0.016
8	0.018
9	0.02
10	0.02
11	0.022
12	0.024
13	0.024
14	0.027
15	0.029
16	0.031
17	0.031
18	0.033
19	0.036
20	0.038
21	0.038
22	0.038
23	0.038
24	0.038
25	0.038
26	0.038
27	0.04
28	0.04
29	0.042
30	0.042
31	0.042
32	0.042
33	0.042
34	0.042
35	0.042
36	0.042
37	0.044
38	0.044
39	0.044
40	0.044
41	0.044
42	0.044
43	0.044
44	0.044
45	0.044
46	0.044
47	0.044
48	0.047
49	0.047
50	0.047
51	0.049
52	0.051
53	0.051
54	0.053
55	0.056
56	0.058
57	0.06
58	0.06
59	0.06
60	0.06
61	0.062
62	0.064
63	0.067
64	0.069
65	0.069
66	0.069
67	0.071
68	0.071
69	0.071
70	0.073
71	0.076
72	0.078
73	0.08
74	0.08
75	0.082
76	0.084
77	0.087
78	0.087
79	0.087
80	0.089
81	0.089
82	0.091
83	0.093
84	0.093
85	0.096
86	0.098
87	0.098
88	0.1
89	0.102
90	0.104
91	0.104
92	0.104
93	0.107
94	0.109
95	0.111
96	0.111
97	0.111
98	0.111
99	0.113
100	0.116
101	0.116
102	0.116
103	0.116
104	0.116
105	0.118
106	0.118
107	0.118
108	0.118
109	0.118
110	0.118
111	0.118
112	0.118
113	0.12
114	0.122
115	0.124
116	0.127
117	0.127
118	0.127
119	0.127
120	0.129
121	0.129
122	0.131
123	0.131
124	0.133
125	0.136
126	0.138
127	0.138
128	0.138
129	0.138
130	0.14
131	0.14
132	0.142
133	0.142
134	0.144
135	0.147
136	0.149
137	0.151
138	0.153
139	0.156
140	0.156
141	0.156
142	0.156
143	0.158
144	0.16
145	0.162
146	0.164
147	0.164
148	0.167
149	0.169
150	0.171
151	0.173
152	0.176
153	0.176
154	0.176
155	0.178
156	0.178
157	0.18
158	0.182
159	0.184
160	0.184
161	0.184
162	0.187
163	0.187
164	0.189
165	0.189
166	0.189
167	0.191
168	0.191
169	0.191
170	0.191
171	0.193
172	0.193
173	0.193
174	0.193
175	0.196
176	0.196
177	0.196
178	0.196
179	0.196
180	0.198
181	0.2
182	0.202
183	0.202
184	0.204
185	0.204
186	0.204
187	0.204
188	0.204
189	0.207
190	0.207
191	0.209
192	0.211
193	0.213
194	0.213
195	0.213
196	0.213
197	0.216
198	0.216
199	0.216
200	0.216
201	0.216
202	0.216
203	0.216
204	0.216
205	0.216
206	0.216
207	0.216
208	0.216
209	0.216
210	0.216
211	0.216
212	0.216
213	0.216
214	0.216
215	0.216
216	0.216
217	0.216
218	0.216
219	0.216
220	0.216
221	0.216
222	0.218
223	0.218
224	0.218
225	0.218
226	0.218
227	0.218
228	0.218
229	0.218
230	0.22
231	0.22
232	0.22
233	0.22
234	0.22
235	0.22
236	0.22
237	0.22
238	0.22
239	0.22
240	0.22
241	0.22
242	0.22
243	0.22
244	0.22
245	0.22
246	0.22
247	0.22
248	0.222
249	0.222
250	0.222
251	0.222
252	0.222
253	0.222
254	0.222
255	0.224
256	0.224
257	0.227
258	0.227
259	0.227
260	0.227
261	0.227
262	0.227
263	0.227
264	0.227
265	0.227
266	0.227
267	0.227
268	0.227
269	0.227
270	0.227
271	0.227
272	0.227
273	0.227
274	0.227
275	0.229
276	0.229
277	0.229
278	0.229
279	0.229
280	0.229
281	0.231
282	0.231
283	0.231
284	0.233
285	0.233
286	0.236
287	0.238
288	0.24
289	0.24
290	0.24
291	0.24
292	0.242
293	0.244
294	0.244
295	0.247
296	0.247
297	0.247
298	0.249
299	0.251
