ID	Elements	Generation	Position	Activity
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.095 0.092 0.078 0.187 0.146 0.012 0.069 0.321]	-0.3726436132812495
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.269 0.109 0.182 0.021 0.096 0.075 0.076 0.172]	-0.619696123046875
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.179 0.345 0.1   0.02  0.14  0.058 0.156 0.002]	-0.6626016796874962
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.038 0.26  0.271 0.076 0.301 0.015 0.016 0.023]	-0.2117848730468745
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.059 0.229 0.073 0.162 0.188 0.081 0.122 0.086]	-0.1785735156250003
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.217 0.354 0.09  0.    0.118 0.057 0.164 0.   ]	-0.6683118554687473
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.292 0.235 0.133 0.    0.082 0.068 0.125 0.065]	-0.7262293359374999
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.411 0.171 0.148 0.    0.024 0.081 0.111 0.054]	-0.8993023339843745
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	8	[0.644 0.087 0.001 0.001 0.004 0.056 0.12  0.087]	-0.8449930859375013
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	9	[0.539 0.304 0.001 0.002 0.004 0.049 0.081 0.02 ]	-0.9393866601562478
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	10	[ 0.553  0.162 -0.001  0.025  0.031  0.16   0.023  0.047]	-0.5030215136718761
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	11	[0.481 0.136 0.    0.024 0.001 0.012 0.298 0.048]	-0.9453938378906224
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	12	[ 0.339  0.007 -0.001  0.023  0.002  0.013  0.562  0.055]	-0.7943152929687515
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	13	[ 0.416  0.122 -0.001  0.052  0.018  0.008  0.377  0.008]	-0.967523789062498
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	14	[0.263 0.559 0.    0.001 0.005 0.017 0.06  0.095]	-0.8537642089843704
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	15	[0.426 0.165 0.    0.005 0.026 0.016 0.323 0.039]	-0.9174539160156218
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	16	[0.599 0.019 0.    0.032 0.    0.    0.35  0.   ]	-0.8973004687499994
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	17	[0.    0.162 0.002 0.    0.    0.    0.836 0.   ]	-0.2214320019531248
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	18	[0.392 0.428 0.    0.    0.    0.    0.18  0.   ]	-0.9335005566406204
