ID	Elements	Generation	Position	Activity	Region	Visited
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.    0.143 0.143]	-0.4254946875000007	0	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.    0.143]	-0.3075255664062482	2	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.143 0.   ]	-0.2143941015625009	4	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.    0.143 0.143 0.143 0.143 0.143 0.143 0.143]	-0.1418649218750006	0	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.    0.143 0.143 0.143 0.143 0.143]	-0.2757961132812505	38	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.113 0.327 0.192 0.046 0.013 0.111 0.041 0.156]	-0.6361019238281217	279	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.188 0.031 0.163 0.105 0.144 0.073 0.18  0.115]	-0.399796884765624	308	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.072 0.194 0.057 0.166 0.285 0.076 0.067 0.083]	-0.2414835937499995	278	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.086 0.12  0.226 0.185 0.062 0.021 0.12  0.181]	-0.4424214843750008	271	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.016 0.108 0.133 0.178 0.083 0.139 0.24  0.104]	-0.1262893945312508	217	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.178 0.173 0.103 0.14  0.004 0.105 0.137 0.159]	-0.572725927734377	375	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.112 0.19  0.131 0.061 0.039 0.098 0.163 0.209]	-0.5746404296875	255	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.187 0.348 0.152 0.072 0.004 0.116 0.068 0.055]	-0.4676328710937506	349	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.073 0.371 0.132 0.01  0.091 0.099 0.082 0.146]	-0.3417518652343744	287	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.084 0.271 0.022 0.138 0.02  0.089 0.133 0.245]	-0.4878779101562526	246	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.057 0.396 0.288 0.023 0.087 0.013 0.007 0.127]	-0.2643492675781247	282	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.306 0.06  0.264 0.018 0.004 0.045 0.19  0.113]	-0.8410089062500012	393	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.07  0.3   0.017 0.13  0.216 0.033 0.143 0.09 ]	-0.2350558789062497	249	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.029 0.271 0.309 0.053 0.019 0.098 0.019 0.2  ]	-0.2447675781250003	279	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.022 0.233 0.321 0.083 0.013 0.013 0.177 0.142]	-0.1929221093750001	204	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.188 0.057 0.184 0.131 0.111 0.031 0.192 0.106]	-0.4112245214843753	393	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.28  0.152 0.107 0.115 0.116 0.106 0.03  0.098]	-0.4636154101562506	405	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.241 0.11  0.192 0.053 0.075 0.062 0.207 0.065]	-0.6398721875000014	393	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.163 0.119 0.204 0.085 0.064 0.085 0.16  0.125]	-0.5562323925781265	393	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.216 0.11  0.122 0.064 0.101 0.154 0.134 0.102]	-0.279200898437499	381	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.185 0.191 0.225 0.091 0.008 0.005 0.132 0.161]	-0.7466593359374987	360	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.168 0.109 0.126 0.031 0.181 0.025 0.237 0.122]	-0.4441891113281254	378	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.239 0.146 0.151 0.039 0.113 0.057 0.147 0.107]	-0.5007019140625014	359	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.206 0.097 0.252 0.085 0.027 0.035 0.151 0.145]	-0.69802205078125	295	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.169 0.087 0.151 0.112 0.02  0.128 0.23  0.107]	-0.4052934960937494	393	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.267 0.011 0.156 0.081 0.077 0.137 0.116 0.156]	-0.3510189941406246	392	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.156 0.108 0.206 0.024 0.038 0.143 0.19  0.138]	-0.3803491406250002	316	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.241 0.172 0.135 0.038 0.143 0.042 0.068 0.163]	-0.501844941406251	371	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.064 0.341 0.226 0.011 0.082 0.096 0.012 0.173]	-0.2496655664062506	170	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.155 0.153 0.254 0.081 0.013 0.026 0.129 0.196]	-0.7411679492187486	360	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.052 0.202 0.231 0.013 0.176 0.134 0.003 0.185]	-0.2637305664062506	200	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.313 0.034 0.28  0.012 0.02  0.049 0.132 0.16 ]	-0.8498904687500015	392	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.167 0.253 0.019 0.217 0.171 0.003 0.154 0.018]	-0.4359143847656252	364	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.08  0.101 0.25  0.087 0.034 0.183 0.106 0.156]	-0.298529736328125	264	False
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.137 0.157 0.377 0.027 0.008 0.02  0.213 0.063]	-0.6785174218749999	155	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.17  0.054 0.29  0.067 0.018 0.062 0.138 0.2  ]	-0.7271059375000024	295	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.333 0.026 0.203 0.094 0.029 0.065 0.025 0.23 ]	-0.6574482421874996	392	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.261 0.015 0.248 0.09  0.001 0.038 0.196 0.151]	-0.6793126074218747	295	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.223 0.125 0.206 0.04  0.05  0.108 0.128 0.125]	-0.7301776757812466	393	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.402 0.186 0.154 0.008 0.021 0.001 0.136 0.1  ]	-0.9570887988281224	431	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.27  0.123 0.277 0.034 0.018 0.052 0.044 0.177]	-0.8713604589843756	392	True
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.278 0.16  0.119 0.051 0.084 0.036 0.144 0.127]	-0.7309057519531238	404	False
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.307 0.14  0.155 0.04  0.102 0.052 0.164 0.042]	-0.6703173632812484	359	True
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.307 0.026 0.295 0.058 0.057 0.053 0.109 0.094]	-0.7448111914062495	393	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.159 0.131 0.167 0.08  0.022 0.086 0.136 0.217]	-0.7050757910156249	392	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.368 0.123 0.124 0.081 0.063 0.009 0.083 0.151]	-0.859116835937496	436	False
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.237 0.152 0.244 0.003 0.037 0.064 0.179 0.087]	-0.7330710156250003	359	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.286 0.004 0.111 0.058 0.187 0.06  0.13  0.161]	-0.4743649218750009	379	False
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.192 0.325 0.142 0.044 0.116 0.03  0.002 0.152]	-0.7659373828124948	360	True
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.258 0.133 0.171 0.157 0.017 0.013 0.102 0.158]	-0.6301073437500009	311	False
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.051 0.119 0.336 0.065 0.171 0.13  0.035 0.087]	-0.1801165820312496	259	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.38  0.17  0.198 0.023 0.093 0.001 0.061 0.075]	-0.8327560546874961	431	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.295 0.26  0.008 0.203 0.089 0.023 0.118 0.007]	-0.6059495898437502	401	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.181 0.108 0.214 0.13  0.085 0.058 0.162 0.063]	-0.4674736621093767	393	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.259 0.097 0.311 0.033 0.01  0.02  0.19  0.08 ]	-0.8059837109375008	393	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.142 0.091 0.182 0.174 0.061 0.001 0.165 0.189]	-0.4903978613281267	0	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.35  0.057 0.186 0.007 0.07  0.04  0.042 0.253]	-0.8234612792968752	433	False
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.261 0.119 0.173 0.027 0.063 0.052 0.105 0.198]	-0.7086188769531245	392	True
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.351 0.128 0.263 0.02  0.072 0.075 0.02  0.073]	-0.8839828125000008	438	False
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.399 0.161 0.146 0.051 0.038 0.05  0.137 0.024]	-0.9108264355468696	431	True
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.288 0.144 0.222 0.057 0.066 0.043 0.066 0.109]	-0.7163152539062482	402	False
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.188 0.126 0.156 0.078 0.04  0.11  0.135 0.171]	-0.7166484863281212	392	True
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.317 0.131 0.079 0.043 0.049 0.065 0.121 0.197]	-0.8444281249999941	397	False
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.35  0.106 0.252 0.053 0.    0.017 0.123 0.103]	-0.9492297363281264	438	True
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.231 0.147 0.17  0.096 0.024 0.005 0.076 0.253]	-0.6600158691406244	360	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.37  0.135 0.18  0.044 0.035 0.008 0.077 0.155]	-0.9512652734374926	433	True
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.293 0.156 0.271 0.078 0.041 0.041 0.09  0.033]	-0.7635744335937452	402	True
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.41  0.039 0.056 0.036 0.094 0.037 0.214 0.112]	-0.7449634472656238	435	False
