Generation	Exploration Value
0	0.002
1	0.004
2	0.004
3	0.007
4	0.007
5	0.009
6	0.011
7	0.013
8	0.016
9	0.018
10	0.02
11	0.022
12	0.024
13	0.027
14	0.029
15	0.029
16	0.029
17	0.031
18	0.031
19	0.033
20	0.036
21	0.038
22	0.038
23	0.04
24	0.04
25	0.04
26	0.042
27	0.042
28	0.042
29	0.044
30	0.044
31	0.047
32	0.047
33	0.047
34	0.047
35	0.047
36	0.049
37	0.049
38	0.049
39	0.051
40	0.051
41	0.051
42	0.053
43	0.056
44	0.058
45	0.06
46	0.06
47	0.062
48	0.062
49	0.062
50	0.062
51	0.064
52	0.067
53	0.067
54	0.067
55	0.069
56	0.071
57	0.071
58	0.073
59	0.073
60	0.073
61	0.073
62	0.073
63	0.073
64	0.073
65	0.073
66	0.076
67	0.076
68	0.078
69	0.08
70	0.08
71	0.08
72	0.08
73	0.082
74	0.082
75	0.082
76	0.082
77	0.082
78	0.082
79	0.082
80	0.082
81	0.082
82	0.082
83	0.082
84	0.082
85	0.082
86	0.082
87	0.082
88	0.084
89	0.084
90	0.087
91	0.087
92	0.087
93	0.087
94	0.089
95	0.091
96	0.093
97	0.096
98	0.098
99	0.098
100	0.098
101	0.098
102	0.098
103	0.098
104	0.098
105	0.1
106	0.1
107	0.1
108	0.1
109	0.1
110	0.1
111	0.1
112	0.1
113	0.102
114	0.102
115	0.104
116	0.104
117	0.107
118	0.107
119	0.107
120	0.109
121	0.111
122	0.111
123	0.111
124	0.113
125	0.116
126	0.116
127	0.118
128	0.118
129	0.12
130	0.12
131	0.122
132	0.122
133	0.124
134	0.124
135	0.127
136	0.127
137	0.129
138	0.129
139	0.129
140	0.129
141	0.129
142	0.131
143	0.131
144	0.133
145	0.133
146	0.136
147	0.138
148	0.138
149	0.138
150	0.14
151	0.142
152	0.144
153	0.144
154	0.144
155	0.147
156	0.149
157	0.151
158	0.153
159	0.153
160	0.153
161	0.156
162	0.156
163	0.156
164	0.156
165	0.158
166	0.158
167	0.16
168	0.162
169	0.164
170	0.167
171	0.167
172	0.169
173	0.171
174	0.171
175	0.171
176	0.173
177	0.173
178	0.173
179	0.173
180	0.173
181	0.176
182	0.176
183	0.176
184	0.176
185	0.176
186	0.176
187	0.176
188	0.178
189	0.178
190	0.178
191	0.178
192	0.178
193	0.178
194	0.18
195	0.18
196	0.182
197	0.182
198	0.182
199	0.184
200	0.184
201	0.184
202	0.184
203	0.184
204	0.184
205	0.184
206	0.184
207	0.184
208	0.184
209	0.184
210	0.184
211	0.184
212	0.184
213	0.187
214	0.187
215	0.189
216	0.189
217	0.189
218	0.189
219	0.189
220	0.189
221	0.189
222	0.189
223	0.189
224	0.189
225	0.191
226	0.191
227	0.191
228	0.191
229	0.191
230	0.191
231	0.191
232	0.191
233	0.193
234	0.193
235	0.196
236	0.196
237	0.196
238	0.196
239	0.196
240	0.198
241	0.198
242	0.198
243	0.2
244	0.2
245	0.202
246	0.202
247	0.202
248	0.202
249	0.202
250	0.202
251	0.202
252	0.202
253	0.204
254	0.207
255	0.207
256	0.207
257	0.207
258	0.209
259	0.209
260	0.211
261	0.213
262	0.216
263	0.218
264	0.22
265	0.222
266	0.222
267	0.224
268	0.227
269	0.227
270	0.227
271	0.227
272	0.227
273	0.227
274	0.227
275	0.227
276	0.227
277	0.227
278	0.229
279	0.229
280	0.229
281	0.229
282	0.231
283	0.231
284	0.231
285	0.233
286	0.233
287	0.236
288	0.236
289	0.238
290	0.24
291	0.24
292	0.242
293	0.244
294	0.244
295	0.244
296	0.244
297	0.244
298	0.244
299	0.244
