Generation	min_value
0	-0.6361019238281217
1	-0.6907088867187501
2	-0.8667017773437483
3	-0.9083901269531264
4	-0.9083901269531264
5	-0.9111193847656248
6	-0.9111193847656248
7	-0.9111193847656248
8	-0.9214401562499952
9	-0.9214401562499952
10	-0.9807654687499984
11	-0.9807654687499984
12	-0.9807654687499984
13	-0.9807654687499984
14	-0.9807654687499984
15	-0.9807654687499984
16	-0.9807654687499984
17	-1.0217089355468751
18	-1.0217089355468751
19	-1.0217089355468751
20	-1.0217089355468751
21	-1.0217089355468751
22	-1.0217089355468751
23	-1.0217089355468751
24	-1.0253977539062469
25	-1.0253977539062469
26	-1.0253977539062469
27	-1.0253977539062469
28	-1.0602013085937472
29	-1.0602013085937472
30	-1.0602013085937472
