Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.011
5	0.013
6	0.016
7	0.018
8	0.02
9	0.022
10	0.024
11	0.024
12	0.027
13	0.027
14	0.029
15	0.031
16	0.033
17	0.036
18	0.038
19	0.038
20	0.04
21	0.04
22	0.042
23	0.042
24	0.044
25	0.047
26	0.047
27	0.047
28	0.047
29	0.047
30	0.049
31	0.049
32	0.049
33	0.051
34	0.051
35	0.053
36	0.053
37	0.053
38	0.053
39	0.053
40	0.053
41	0.056
42	0.058
43	0.06
44	0.062
45	0.062
46	0.062
47	0.062
48	0.064
49	0.067
50	0.069
51	0.069
52	0.071
53	0.071
54	0.071
55	0.073
56	0.076
57	0.076
58	0.078
59	0.078
60	0.08
61	0.08
62	0.08
63	0.082
64	0.084
65	0.084
66	0.084
67	0.084
68	0.087
69	0.089
70	0.091
71	0.091
72	0.091
73	0.091
74	0.091
75	0.093
76	0.093
77	0.093
78	0.093
79	0.093
80	0.093
81	0.096
82	0.096
83	0.096
84	0.096
85	0.098
86	0.1
87	0.1
88	0.1
89	0.102
90	0.104
91	0.104
92	0.107
93	0.107
94	0.107
95	0.107
96	0.109
97	0.111
98	0.113
99	0.113
100	0.116
101	0.116
102	0.118
103	0.118
104	0.118
105	0.118
106	0.118
107	0.118
108	0.118
109	0.118
110	0.118
111	0.118
112	0.118
113	0.118
114	0.118
115	0.118
116	0.12
117	0.122
118	0.122
119	0.124
120	0.124
121	0.127
122	0.127
123	0.127
124	0.127
125	0.127
126	0.127
127	0.127
128	0.129
129	0.131
130	0.133
131	0.136
132	0.136
133	0.136
134	0.136
135	0.136
136	0.136
137	0.136
138	0.136
139	0.138
140	0.138
141	0.138
142	0.138
143	0.138
144	0.138
145	0.138
146	0.138
147	0.138
148	0.14
149	0.14
150	0.142
151	0.142
152	0.142
153	0.144
154	0.144
155	0.144
156	0.144
157	0.144
158	0.147
159	0.147
160	0.149
161	0.149
162	0.149
163	0.151
164	0.151
165	0.151
166	0.151
167	0.153
168	0.153
169	0.156
170	0.156
171	0.156
172	0.158
173	0.16
174	0.16
175	0.162
176	0.162
177	0.162
178	0.162
179	0.164
180	0.167
181	0.167
182	0.169
183	0.171
184	0.171
185	0.171
186	0.173
187	0.176
188	0.178
189	0.18
190	0.18
191	0.182
192	0.182
193	0.182
194	0.182
195	0.182
196	0.184
197	0.184
198	0.187
199	0.187
200	0.187
201	0.189
202	0.191
203	0.191
204	0.193
205	0.193
206	0.196
207	0.196
208	0.196
209	0.196
210	0.198
211	0.198
212	0.2
213	0.2
214	0.2
215	0.202
216	0.204
217	0.204
218	0.204
219	0.204
220	0.204
221	0.204
222	0.207
223	0.207
224	0.207
225	0.207
226	0.207
227	0.209
228	0.209
229	0.209
230	0.209
231	0.211
232	0.211
233	0.211
234	0.211
235	0.211
236	0.211
237	0.213
238	0.213
239	0.213
240	0.216
241	0.216
242	0.216
243	0.218
244	0.218
245	0.218
246	0.218
247	0.218
248	0.22
249	0.222
250	0.224
251	0.227
252	0.229
253	0.229
254	0.231
255	0.231
256	0.231
257	0.233
258	0.233
259	0.233
260	0.236
261	0.238
262	0.24
263	0.242
264	0.244
265	0.247
266	0.247
267	0.247
268	0.247
269	0.249
270	0.249
271	0.249
272	0.251
273	0.253
274	0.256
275	0.258
276	0.26
277	0.26
278	0.262
279	0.264
280	0.264
281	0.267
282	0.267
283	0.267
284	0.269
285	0.271
286	0.271
287	0.273
288	0.276
289	0.276
290	0.276
291	0.278
292	0.278
293	0.278
294	0.28
295	0.282
296	0.282
297	0.282
298	0.282
299	0.282
