ID	Elements	Generation	Position	Activity
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.067 0.03  0.328 0.081 0.045 0.277 0.006 0.166]	-0.1924318652343754
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.054 0.046 0.084 0.373 0.124 0.118 0.03  0.171]	-0.1163058496093755
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.199 0.022 0.227 0.151 0.089 0.19  0.077 0.045]	-0.2036659960937501
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.198 0.022 0.23  0.148 0.088 0.192 0.076 0.046]	-0.2051571289062499
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.191 0.018 0.305 0.062 0.063 0.242 0.064 0.055]	-0.2661916210937486
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.247 0.006 0.327 0.    0.034 0.301 0.077 0.008]	-0.4702019433593775
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.313 0.    0.226 0.    0.001 0.368 0.092 0.   ]	-0.4976738867187532
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.281 0.    0.102 0.    0.087 0.392 0.138 0.   ]	-0.4787490429687527
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	8	[0.341 0.    0.207 0.    0.078 0.364 0.01  0.   ]	-0.5493825585937524
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	9	[0.478 0.    0.086 0.    0.116 0.32  0.    0.   ]	-0.5727838183593763
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	10	[0.556 0.    0.224 0.    0.    0.22  0.    0.   ]	-0.5616420996093762
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	11	[0.759 0.153 0.    0.    0.037 0.051 0.    0.   ]	-0.8996203808593732
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	12	[0.606 0.147 0.003 0.13  0.057 0.003 0.004 0.05 ]	-0.697696748046875
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	13	[0.603 0.301 0.    0.    0.02  0.024 0.052 0.   ]	-0.9557820800781224
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	14	[0.342 0.658 0.    0.    0.    0.    0.    0.   ]	-0.9215420507812468
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	15	[0.428 0.493 0.001 0.012 0.048 0.017 0.001 0.   ]	-0.9194828027343688
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	16	[ 0.018  0.761 -0.001  0.024  0.124  0.005  0.031  0.038]	-0.2017003027343739
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	17	[ 0.077  0.001 -0.001  0.     0.899  0.024  0.     0.   ]	-0.390563115234373
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	18	[0.021 0.    0.001 0.    0.016 0.    0.962 0.   ]	-0.1823249804687496
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	19	[0.374 0.372 0.    0.01  0.006 0.235 0.001 0.002]	-0.594835400390625
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	20	[0.015 0.112 0.002 0.    0.    0.    0.026 0.845]	-0.2020478710937498
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	21	[0.799 0.026 0.001 0.    0.024 0.    0.143 0.007]	-0.8671720019531256
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	22	[0.   0.   0.   0.   0.04 0.96 0.   0.  ]	-0.1941329589843749
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	23	[0.482 0.16  0.001 0.    0.071 0.    0.272 0.014]	-0.8666058300781211
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	24	[0.386 0.341 0.    0.    0.054 0.    0.219 0.   ]	-0.8900032031249936
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	25	[0.497 0.069 0.    0.    0.342 0.    0.023 0.069]	-0.6491754980468751
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	26	[0.414 0.036 0.002 0.    0.01  0.    0.538 0.   ]	-0.8668921875000005
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	27	[0.656 0.223 0.002 0.    0.    0.    0.092 0.027]	-0.9482725292968728
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	28	[0.56  0.291 0.001 0.001 0.029 0.    0.048 0.07 ]	-0.9287427734374952
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	29	[0.182 0.362 0.001 0.    0.    0.    0.455 0.   ]	-0.8586478710937459
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	30	[0.579 0.421 0.    0.    0.    0.    0.    0.   ]	-0.9416674316406216
