ID	Elements	Generation	Position	Activity
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.166 0.27  0.065 0.147 0.036 0.165 0.062 0.089]	-0.3723176074218738
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.034 0.164 0.134 0.147 0.134 0.087 0.249 0.051]	-0.1445187890625007
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.103 0.006 0.01  0.238 0.369 0.113 0.12  0.041]	-0.2354164257812502
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.084 0.109 0.103 0.006 0.084 0.031 0.132 0.451]	-0.5408112304687497
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.021 0.113 0.293 0.02  0.247 0.271 0.023 0.012]	-0.1554965136718744
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.187 0.535 0.102 0.005 0.053 0.057 0.023 0.038]	-0.8018202343749954
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.229 0.623 0.027 0.    0.015 0.022 0.    0.084]	-0.8737727539062463
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.101 0.809 0.001 0.    0.003 0.033 0.004 0.049]	-0.6847457714843724
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	8	[0.095 0.503 0.003 0.005 0.001 0.065 0.053 0.275]	-0.642112578124999
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	9	[0.563 0.402 0.    0.    0.    0.    0.016 0.019]	-0.9297601562499958
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	10	[0.789 0.052 0.001 0.003 0.017 0.032 0.013 0.093]	-0.8451356054687527
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	11	[0.59  0.18  0.    0.    0.033 0.    0.    0.197]	-0.932230908203122
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	12	[0.528 0.    0.    0.034 0.001 0.    0.014 0.423]	-0.8936057324218757
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	13	[0.626 0.094 0.    0.    0.24  0.    0.014 0.026]	-0.6968893261718746
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	14	[0.077 0.001 0.    0.018 0.028 0.027 0.005 0.844]	-0.4530749999999986
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	15	[0.611 0.061 0.    0.007 0.01  0.013 0.19  0.108]	-0.8667179687500005
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	16	[ 0.62   0.111 -0.001  0.     0.     0.     0.003  0.267]	-0.9044390429687512
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	17	[0.509 0.312 0.    0.007 0.003 0.001 0.003 0.165]	-0.988288603515621
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	18	[0.611 0.    0.    0.24  0.    0.    0.    0.149]	-0.7087266992187515
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	19	[ 0.585  0.052 -0.001  0.     0.     0.259  0.015  0.09 ]	-0.5577251660156269
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	20	[0.362 0.4   0.008 0.    0.111 0.    0.031 0.088]	-0.7675170703124965
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	21	[0.063 0.    0.001 0.    0.051 0.    0.882 0.003]	-0.195727919921875
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	22	[0.529 0.353 0.003 0.003 0.    0.002 0.    0.11 ]	-0.9454466015624964
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	23	[0.724 0.01  0.    0.    0.    0.    0.089 0.177]	-0.8607018457031254
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	24	[0.467 0.178 0.    0.023 0.    0.003 0.02  0.309]	-0.9791389355468706
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	25	[0.122 0.015 0.001 0.852 0.007 0.    0.003 0.   ]	-0.5241354199218737
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	26	[0.491 0.239 0.001 0.    0.    0.    0.002 0.267]	-0.959337783203124
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	27	[ 0.66   0.335 -0.001  0.     0.     0.     0.001  0.005]	-0.9422128710937469
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	28	[0.464 0.18  0.    0.    0.    0.    0.005 0.351]	-0.9535288281249984
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	29	[0.468 0.181 0.    0.    0.    0.    0.107 0.244]	-0.9451545019531216
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	30	[0.431 0.066 0.002 0.001 0.    0.    0.094 0.406]	-0.86733111328125
