Generation	min_value
0	-0.6361019238281217
1	-0.6361019238281217
2	-0.6927993066406224
3	-0.7155969042968715
4	-0.7904154101562477
5	-0.7904154101562477
6	-0.940028593749995
7	-0.940028593749995
8	-0.940028593749995
9	-0.9700577148437468
10	-0.9700577148437468
11	-0.9835503613281208
12	-0.9835503613281208
13	-0.9835503613281208
14	-0.9835503613281208
15	-0.9837564257812458
16	-0.9837564257812458
17	-0.9837564257812458
18	-0.9837564257812458
19	-1.0131372070312437
20	-1.0131372070312437
21	-1.0131372070312437
22	-1.0131372070312437
23	-1.0131372070312437
24	-1.0131372070312437
25	-1.0131372070312437
26	-1.0131372070312437
27	-1.0131372070312437
28	-1.0131372070312437
29	-1.017553124999993
30	-1.017553124999993
