Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.011
5	0.013
6	0.016
7	0.018
8	0.018
9	0.02
10	0.022
11	0.024
12	0.027
13	0.029
14	0.031
15	0.033
16	0.036
17	0.038
18	0.04
19	0.042
20	0.044
21	0.044
22	0.044
23	0.044
24	0.044
25	0.044
26	0.044
27	0.044
28	0.044
29	0.044
30	0.047
31	0.047
32	0.047
33	0.049
34	0.051
35	0.051
36	0.053
37	0.056
38	0.058
39	0.058
40	0.06
41	0.062
42	0.064
43	0.064
44	0.067
45	0.069
46	0.069
47	0.071
48	0.071
49	0.073
50	0.073
51	0.076
52	0.076
53	0.076
54	0.078
55	0.078
56	0.078
57	0.078
58	0.08
59	0.08
60	0.08
61	0.08
62	0.08
63	0.08
64	0.08
65	0.08
66	0.08
67	0.08
68	0.08
69	0.08
70	0.08
71	0.08
72	0.082
73	0.082
74	0.084
75	0.084
76	0.084
77	0.087
78	0.089
79	0.091
80	0.091
81	0.091
82	0.093
83	0.096
84	0.098
85	0.098
86	0.1
87	0.1
88	0.1
89	0.1
90	0.102
91	0.102
92	0.104
93	0.107
94	0.109
95	0.109
96	0.109
97	0.109
98	0.109
99	0.109
100	0.111
101	0.111
102	0.111
103	0.111
104	0.111
105	0.113
106	0.113
107	0.116
108	0.116
109	0.116
110	0.116
111	0.116
112	0.116
113	0.116
114	0.118
115	0.118
116	0.118
117	0.118
118	0.118
119	0.118
120	0.118
121	0.118
122	0.118
123	0.118
124	0.118
125	0.118
126	0.118
127	0.12
128	0.122
129	0.122
130	0.122
131	0.124
132	0.124
133	0.124
134	0.124
135	0.124
136	0.124
137	0.127
138	0.127
139	0.127
140	0.129
141	0.129
142	0.131
143	0.131
144	0.131
145	0.131
146	0.131
147	0.131
148	0.131
149	0.131
150	0.133
151	0.133
152	0.133
153	0.133
154	0.136
155	0.136
156	0.136
157	0.136
158	0.138
159	0.138
160	0.138
161	0.138
162	0.14
163	0.14
164	0.14
165	0.14
166	0.14
167	0.14
168	0.14
169	0.142
170	0.142
171	0.144
172	0.144
173	0.144
174	0.144
175	0.144
176	0.144
177	0.147
178	0.149
179	0.149
180	0.149
181	0.149
182	0.149
183	0.149
184	0.149
185	0.149
186	0.149
187	0.149
188	0.149
189	0.151
190	0.151
191	0.151
192	0.153
193	0.156
194	0.158
195	0.16
196	0.162
197	0.162
198	0.162
199	0.162
200	0.162
201	0.164
202	0.167
203	0.167
204	0.169
205	0.171
206	0.171
207	0.171
208	0.171
209	0.171
210	0.173
211	0.173
212	0.173
213	0.173
214	0.173
215	0.173
216	0.176
217	0.178
218	0.18
219	0.182
220	0.182
221	0.182
222	0.184
223	0.184
224	0.184
225	0.184
226	0.187
227	0.189
228	0.191
229	0.193
230	0.196
231	0.198
232	0.198
233	0.198
234	0.2
235	0.202
236	0.202
237	0.204
238	0.207
239	0.207
240	0.207
241	0.209
242	0.209
243	0.209
244	0.209
245	0.211
246	0.211
247	0.211
248	0.213
249	0.216
250	0.218
251	0.218
252	0.22
253	0.222
254	0.222
255	0.224
256	0.224
257	0.224
258	0.227
259	0.227
260	0.227
261	0.227
262	0.229
263	0.229
264	0.231
265	0.233
266	0.233
267	0.236
268	0.236
269	0.236
270	0.236
271	0.236
272	0.236
273	0.236
274	0.236
275	0.236
276	0.238
277	0.238
278	0.238
279	0.238
280	0.238
281	0.24
282	0.24
283	0.242
284	0.242
285	0.242
286	0.242
287	0.244
288	0.244
289	0.244
290	0.244
291	0.244
292	0.244
293	0.244
294	0.244
295	0.244
296	0.247
297	0.247
298	0.247
299	0.247
