ID	Elements	Generation	Position	Activity
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.426 0.155 0.172 0.047 0.12  0.03  0.036 0.014]	-0.7154083691406221
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.038 0.362 0.128 0.156 0.177 0.008 0.123 0.008]	-0.1835907031249995
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.46  0.139 0.071 0.057 0.097 0.044 0.127 0.005]	-0.8004651855468726
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[ 0.639  0.038 -0.001  0.109  0.041  0.046  0.126  0.002]	-0.63426453125
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.434 0.104 0.001 0.    0.074 0.144 0.232 0.011]	-0.5368559375000004
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[0.5   0.171 0.    0.134 0.053 0.008 0.116 0.018]	-0.7135182324218726
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[ 0.494  0.112 -0.001  0.061  0.194  0.     0.14   0.   ]	-0.6977992773437485
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.565 0.236 0.076 0.    0.079 0.    0.044 0.   ]	-0.8789624609374966
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	8	[0.587 0.225 0.    0.053 0.034 0.004 0.023 0.074]	-0.9327790234374944
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	9	[0.543 0.18  0.    0.005 0.016 0.056 0.002 0.198]	-0.9524970605468736
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	10	[0.574 0.038 0.001 0.016 0.072 0.002 0.014 0.283]	-0.810575107421876
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	11	[0.06  0.021 0.    0.013 0.08  0.06  0.031 0.735]	-0.2091216210937501
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	12	[ 0.168  0.03  -0.001  0.     0.     0.769  0.     0.034]	-0.4547108886718758
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	13	[ 0.599  0.283 -0.001  0.017  0.004  0.     0.001  0.097]	-0.969894003906248
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	14	[0.605 0.168 0.001 0.003 0.092 0.018 0.008 0.105]	-0.7917890429687512
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	15	[0.434 0.422 0.001 0.094 0.013 0.004 0.016 0.016]	-0.8059513378906215
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	16	[0.042 0.    0.    0.746 0.    0.013 0.195 0.004]	-0.0992610351562505
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	17	[0.616 0.322 0.    0.    0.    0.    0.    0.062]	-0.9444168457031228
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	18	[0.507 0.253 0.    0.    0.    0.    0.073 0.167]	-0.9430046972656227
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	19	[0.582 0.268 0.    0.    0.    0.    0.    0.15 ]	-0.9617916113281234
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	20	[0.477 0.418 0.001 0.    0.029 0.001 0.    0.074]	-0.9301649707031204
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	21	[0.048 0.    0.    0.    0.892 0.    0.002 0.058]	-0.2313402539062501
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	22	[ 0.558  0.291 -0.001  0.     0.     0.     0.     0.152]	-0.9690753613281224
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	23	[0.5   0.226 0.    0.    0.    0.    0.    0.274]	-0.9661047265624988
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	24	[0.551 0.291 0.009 0.    0.    0.    0.    0.149]	-0.9690753613281224
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	25	[0.623 0.195 0.    0.    0.    0.    0.    0.182]	-0.9579033886718736
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	26	[0.542 0.328 0.    0.    0.    0.    0.    0.13 ]	-0.9630911816406212
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	27	[0.563 0.301 0.008 0.    0.    0.    0.002 0.126]	-0.9690467089843716
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	28	[0.508 0.232 0.    0.    0.    0.    0.    0.26 ]	-0.9656755664062489
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	29	[0. 0. 0. 0. 0. 0. 1. 0.]	-0.1884696679687495
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	30	[0.498 0.348 0.002 0.    0.    0.067 0.031 0.054]	-0.9173235839843732
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	31	[0.052 0.731 0.    0.015 0.039 0.028 0.102 0.033]	-0.2595948730468744
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	32	[0.592 0.006 0.    0.    0.    0.104 0.    0.298]	-0.7765649511718747
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	33	[ 0.301  0.394 -0.001  0.     0.     0.     0.     0.306]	-0.9148218261718708
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	34	[ 0.354  0.171 -0.001  0.145  0.     0.     0.     0.331]	-0.7708201464843742
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	35	[0.    0.12  0.001 0.    0.    0.491 0.    0.388]	-0.2187908496093752
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	36	[0.508 0.282 0.001 0.    0.    0.    0.    0.209]	-0.961085410156248
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	37	[0.551 0.204 0.    0.06  0.    0.    0.    0.185]	-0.9889755468749976
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	38	[0.011 0.455 0.006 0.    0.    0.    0.027 0.501]	-0.2343800195312501
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	39	[ 0.     0.    -0.001  0.014  0.498  0.02   0.469  0.   ]	-0.1730844140624988
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	40	[0.528 0.179 0.21  0.    0.    0.    0.025 0.058]	-0.9501681640624984
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	41	[0.37  0.303 0.    0.    0.    0.077 0.    0.25 ]	-0.9551773046874972
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	42	[0.385 0.426 0.    0.    0.    0.    0.    0.189]	-0.9539231738281212
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	43	[0.49  0.134 0.153 0.    0.    0.    0.    0.223]	-0.9547594042968742
