Generation	Distance
0	0.056
1	0.056
2	0.056
3	0.056
4	0.056
5	0.056
6	0.056
7	0.056
8	0.056
9	0.056
10	0.056
11	0.056
12	0.056
13	0.056
14	0.056
15	0.056
16	0.056
17	0.056
18	0.056
19	0.056
20	0.056
21	0.056
22	0.056
23	0.056
24	0.056
25	0.056
26	0.056
27	0.056
28	0.056
29	0.056
30	0.056
31	0.056
32	0.056
33	0.056
34	0.056
35	0.056
36	0.056
37	0.056
38	0.056
39	0.056
40	0.056
41	0.056
42	0.056
43	0.056
44	0.056
45	0.056
46	0.056
47	0.056
48	0.056
49	0.056
50	0.056
51	0.056
52	0.056
53	0.056
54	0.056
55	0.056
56	0.056
57	0.056
58	0.056
59	0.056
60	0.056
61	0.056
62	0.056
63	0.056
64	0.056
65	0.056
66	0.056
67	0.056
68	0.056
69	0.056
70	0.056
71	0.056
72	0.056
73	0.056
74	0.056
75	0.056
76	0.056
77	0.056
78	0.056
79	0.056
80	0.056
81	0.056
82	0.056
83	0.056
84	0.056
85	0.056
86	0.056
87	0.056
88	0.056
89	0.056
90	0.056
91	0.056
92	0.056
93	0.056
94	0.056
95	0.056
96	0.056
97	0.056
98	0.056
99	0.056
100	0.056
101	0.056
102	0.056
103	0.056
104	0.056
105	0.056
106	0.056
107	0.056
108	0.056
109	0.056
110	0.056
111	0.056
112	0.056
113	0.056
114	0.056
115	0.056
116	0.056
117	0.056
118	0.056
119	0.056
120	0.056
121	0.056
122	0.056
123	0.056
124	0.056
125	0.056
126	0.056
127	0.056
128	0.056
129	0.056
130	0.056
131	0.056
132	0.056
133	0.056
134	0.056
135	0.056
136	0.056
137	0.056
138	0.056
139	0.056
140	0.056
141	0.056
142	0.056
143	0.056
144	0.056
145	0.056
146	0.056
147	0.056
148	0.056
149	0.056
150	0.056
151	0.056
152	0.056
153	0.056
154	0.056
155	0.056
156	0.056
157	0.056
158	0.056
159	0.056
160	0.056
161	0.056
162	0.056
163	0.056
164	0.056
165	0.056
166	0.056
167	0.056
168	0.056
169	0.056
170	0.056
171	0.056
172	0.056
173	0.056
174	0.056
175	0.056
176	0.056
177	0.056
178	0.056
179	0.056
180	0.056
181	0.056
182	0.056
183	0.056
184	0.056
185	0.056
186	0.056
187	0.056
188	0.056
189	0.056
190	0.056
191	0.056
192	0.056
193	0.056
194	0.056
195	0.056
196	0.056
197	0.056
198	0.056
199	0.056
200	0.056
201	0.056
202	0.056
203	0.056
204	0.056
205	0.056
206	0.056
207	0.056
208	0.056
209	0.056
210	0.056
211	0.056
212	0.056
213	0.056
214	0.056
215	0.056
216	0.056
217	0.056
218	0.056
219	0.056
220	0.056
221	0.056
222	0.056
223	0.056
224	0.056
225	0.056
226	0.056
227	0.056
228	0.056
229	0.056
230	0.056
231	0.056
232	0.056
233	0.056
234	0.056
235	0.056
236	0.056
237	0.056
238	0.056
239	0.056
240	0.056
241	0.056
242	0.056
243	0.056
244	0.056
245	0.056
246	0.056
247	0.056
248	0.056
249	0.056
250	0.056
251	0.056
252	0.056
253	0.056
254	0.056
255	0.056
256	0.056
257	0.056
258	0.056
259	0.056
260	0.056
261	0.056
262	0.056
263	0.056
264	0.056
265	0.056
266	0.056
267	0.056
268	0.056
269	0.056
270	0.056
271	0.056
272	0.056
273	0.056
274	0.056
275	0.056
276	0.056
277	0.056
278	0.056
279	0.056
280	0.056
281	0.056
282	0.056
283	0.056
284	0.056
285	0.056
286	0.056
287	0.056
288	0.056
289	0.056
290	0.056
291	0.056
292	0.056
293	0.056
294	0.056
295	0.056
296	0.056
297	0.056
298	0.056
299	0.056
