Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.009
4	0.011
5	0.011
6	0.013
7	0.016
8	0.018
9	0.02
10	0.022
11	0.024
12	0.027
13	0.029
14	0.031
15	0.033
16	0.036
17	0.038
18	0.04
19	0.042
20	0.042
21	0.042
22	0.042
23	0.044
24	0.047
25	0.049
26	0.049
27	0.049
28	0.049
29	0.051
30	0.051
31	0.053
32	0.053
33	0.053
34	0.053
35	0.056
36	0.058
37	0.058
38	0.06
39	0.062
40	0.064
41	0.067
42	0.069
43	0.071
44	0.071
45	0.073
46	0.076
47	0.076
48	0.076
49	0.078
50	0.078
51	0.08
52	0.08
53	0.08
54	0.08
55	0.08
56	0.08
57	0.08
58	0.08
59	0.08
60	0.08
61	0.08
62	0.08
63	0.08
64	0.08
65	0.08
66	0.082
67	0.082
68	0.084
69	0.087
70	0.089
71	0.091
72	0.091
73	0.091
74	0.093
75	0.093
76	0.096
77	0.096
78	0.098
79	0.1
80	0.102
81	0.104
82	0.107
83	0.107
84	0.107
85	0.109
86	0.111
87	0.111
88	0.111
89	0.111
90	0.111
91	0.113
92	0.116
93	0.118
94	0.118
95	0.118
96	0.118
97	0.12
98	0.122
99	0.124
100	0.124
101	0.124
102	0.124
103	0.124
104	0.127
105	0.127
106	0.127
107	0.127
108	0.129
109	0.131
110	0.131
111	0.133
112	0.136
113	0.138
114	0.138
115	0.138
116	0.138
117	0.14
118	0.14
119	0.142
120	0.142
121	0.144
122	0.147
123	0.149
124	0.149
125	0.151
126	0.153
127	0.153
128	0.156
129	0.158
130	0.16
131	0.16
132	0.16
133	0.16
134	0.16
135	0.16
136	0.162
137	0.162
138	0.162
139	0.162
140	0.162
141	0.162
142	0.162
143	0.162
144	0.162
145	0.162
146	0.162
147	0.162
148	0.164
149	0.164
150	0.167
151	0.167
152	0.169
153	0.169
154	0.169
155	0.169
156	0.169
157	0.171
158	0.173
159	0.173
160	0.176
161	0.176
162	0.178
163	0.178
164	0.178
165	0.178
166	0.178
167	0.178
168	0.18
169	0.182
170	0.182
171	0.182
172	0.182
173	0.182
174	0.184
175	0.184
176	0.184
177	0.187
178	0.187
179	0.189
180	0.191
181	0.193
182	0.193
183	0.196
184	0.196
185	0.198
186	0.198
187	0.198
188	0.2
189	0.2
190	0.2
191	0.2
192	0.202
193	0.204
194	0.204
195	0.204
196	0.204
197	0.204
198	0.204
199	0.204
200	0.204
201	0.204
202	0.204
203	0.207
204	0.209
205	0.209
206	0.209
207	0.209
208	0.211
209	0.211
210	0.211
211	0.211
212	0.213
213	0.213
214	0.213
215	0.213
216	0.213
217	0.213
218	0.213
219	0.213
220	0.216
221	0.216
222	0.218
223	0.22
224	0.22
225	0.222
226	0.224
227	0.227
228	0.229
229	0.231
230	0.231
231	0.231
232	0.231
233	0.231
234	0.231
235	0.231
236	0.231
237	0.231
238	0.231
239	0.231
240	0.231
241	0.233
242	0.233
243	0.233
244	0.236
245	0.236
246	0.236
247	0.238
248	0.238
249	0.238
250	0.238
251	0.238
252	0.238
253	0.238
254	0.238
255	0.24
256	0.24
257	0.24
258	0.242
259	0.242
260	0.242
261	0.242
262	0.244
263	0.244
264	0.247
265	0.249
266	0.249
267	0.251
268	0.251
269	0.253
270	0.256
271	0.256
272	0.258
273	0.258
274	0.26
275	0.26
276	0.262
277	0.262
278	0.264
279	0.267
280	0.269
281	0.271
282	0.271
283	0.273
284	0.276
285	0.278
286	0.28
287	0.282
288	0.282
289	0.282
290	0.282
291	0.282
292	0.284
293	0.287
294	0.287
295	0.287
296	0.289
297	0.289
298	0.291
299	0.291
