ID	Elements	Generation	Position	Activity	Region	Visited
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	32	[0.615 0.235 0.    0.    0.    0.    0.036 0.114]	-0.9470401171874976	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	33	[0.37  0.256 0.    0.    0.    0.014 0.079 0.281]	-0.9433477050781228	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	34	[0.549 0.154 0.001 0.    0.    0.    0.115 0.181]	-0.937503134765622	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	35	[0.497 0.242 0.002 0.    0.    0.    0.046 0.213]	-0.952363144531248	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	36	[0.551 0.264 0.    0.033 0.005 0.093 0.05  0.004]	-0.8225769531249976	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	37	[0.429 0.125 0.004 0.    0.    0.    0.015 0.427]	-0.94473412109375	418	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	38	[0.536 0.072 0.001 0.    0.    0.    0.028 0.363]	-0.8784202929687503	418	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	39	[0.482 0.365 0.    0.    0.    0.    0.062 0.091]	-0.9294535937499956	432	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	40	[0.565 0.331 0.003 0.    0.    0.01  0.05  0.041]	-0.9358525683593714	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	41	[0.513 0.264 0.    0.012 0.    0.035 0.022 0.154]	-0.9700746582031224	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	42	[0.475 0.229 0.001 0.033 0.002 0.02  0.033 0.207]	-0.9846060156249954	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	43	[0.467 0.29  0.    0.    0.    0.    0.089 0.154]	-0.954537167968746	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	44	[0.534 0.302 0.    0.    0.    0.    0.012 0.152]	-0.9489907128906218	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	45	[0.489 0.25  0.001 0.    0.    0.    0.073 0.187]	-0.9451865332031226	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	46	[0.56  0.325 0.    0.    0.    0.    0.003 0.112]	-0.9494098925781213	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	47	[0.543 0.271 0.    0.    0.    0.001 0.144 0.041]	-0.9213669140624984	427	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	48	[0.456 0.186 0.23  0.    0.    0.    0.    0.128]	-0.9958445312499992	431	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	49	[0.487 0.219 0.    0.001 0.096 0.017 0.    0.18 ]	-0.8460291894531237	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	50	[0.39  0.277 0.    0.066 0.    0.    0.166 0.101]	-0.9509768652343714	427	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	51	[0.    0.062 0.001 0.023 0.    0.775 0.057 0.082]	-0.1518312109374999	85	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	52	[0.07  0.51  0.    0.02  0.006 0.007 0.06  0.327]	-0.3388678906249991	287	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	53	[0.421 0.216 0.185 0.    0.    0.    0.088 0.09 ]	-0.9325477636718732	431	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	54	[0.062 0.022 0.002 0.013 0.005 0.1   0.784 0.012]	-0.2186865429687499	90	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	55	[0.344 0.    0.002 0.    0.    0.147 0.027 0.48 ]	-0.5356903710937533	324	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	56	[0.124 0.459 0.002 0.021 0.002 0.055 0.326 0.011]	-0.6532853613281238	292	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	57	[0.007 0.035 0.002 0.818 0.06  0.    0.031 0.047]	-0.0755733496093751	66	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	58	[0.543 0.155 0.19  0.    0.    0.    0.    0.112]	-0.9472299121093752	431	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	59	[0.441 0.233 0.109 0.    0.    0.    0.    0.217]	-0.9794313867187489	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	60	[0.439 0.231 0.122 0.    0.    0.    0.    0.208]	-0.979960966796874	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	61	[0.285 0.494 0.    0.    0.221 0.    0.    0.   ]	-0.7332182714843726	362	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	62	[0.434 0.156 0.2   0.    0.    0.041 0.    0.169]	-0.9615602148437494	433	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	63	[0.405 0.023 0.002 0.102 0.023 0.028 0.384 0.033]	-0.7153329101562514	416	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	64	[0.35  0.074 0.008 0.037 0.    0.013 0.217 0.301]	-0.897864462890624	417	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	65	[0.397 0.227 0.    0.044 0.    0.    0.    0.332]	-0.9972298242187472	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	66	[0.419 0.177 0.001 0.066 0.    0.    0.    0.337]	-0.9756431347656224	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	67	[0.044 0.    0.004 0.    0.    0.    0.388 0.564]	-0.2142005761718753	88	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	68	[0.388 0.01  0.001 0.003 0.008 0.093 0.294 0.203]	-0.7850558300781255	417	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	69	[0.316 0.26  0.001 0.014 0.01  0.004 0.343 0.052]	-0.8772057031249976	346	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	70	[0.357 0.216 0.    0.    0.    0.    0.    0.427]	-0.9641370214843736	366	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	71	[ 0.286  0.281 -0.001  0.163  0.003  0.003  0.05   0.215]	-0.6990881054687481	375	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	72	[0.024 0.028 0.001 0.005 0.395 0.    0.    0.547]	-0.224511298828124	74	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	73	[0.03  0.385 0.001 0.    0.372 0.    0.212 0.   ]	-0.2241630859374988	142	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	74	[0.364 0.172 0.135 0.    0.    0.    0.    0.329]	-0.9639758496093735	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	75	[0.    0.008 0.    0.314 0.    0.    0.044 0.634]	-0.0987467871093751	122	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	76	[ 0.075  0.083 -0.001  0.     0.     0.427  0.416  0.   ]	-0.2533809374999993	97	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	77	[0.063 0.556 0.    0.    0.058 0.312 0.011 0.   ]	-0.251089111328125	162	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	78	[0.443 0.154 0.    0.019 0.    0.081 0.231 0.072]	-0.9071408789062472	427	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	79	[0.459 0.222 0.107 0.03  0.    0.    0.    0.182]	-1.0099921386718718	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	80	[0.296 0.    0.572 0.    0.    0.    0.    0.132]	-0.8359943164062533	370	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	81	[0.391 0.172 0.    0.058 0.    0.    0.171 0.208]	-0.973579335937495	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	82	[0.079 0.    0.001 0.386 0.    0.    0.534 0.   ]	-0.4277084179687492	108	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	83	[1. 0. 0. 0. 0. 0. 0. 0.]	-0.8772396777343769	449	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	84	[0.465 0.22  0.115 0.048 0.    0.    0.    0.152]	-1.0163705761718718	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	85	[0.045 0.    0.002 0.    0.428 0.    0.525 0.   ]	-0.1901927246093746	72	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	86	[0.162 0.    0.    0.    0.383 0.455 0.    0.   ]	-0.4609259277343752	69	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	87	[0.398 0.206 0.001 0.028 0.    0.061 0.15  0.156]	-0.9790836425781212	426	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	88	[0.342 0.152 0.    0.    0.    0.    0.269 0.237]	-0.8795692773437471	367	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	89	[0.273 0.366 0.361 0.    0.    0.    0.    0.   ]	-0.9675890234374988	349	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	90	[0.336 0.277 0.278 0.    0.    0.    0.    0.109]	-1.002083623046876	402	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	91	[0.423 0.577 0.    0.    0.    0.    0.    0.   ]	-0.9405641601562468	432	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	92	[0.397 0.296 0.221 0.    0.    0.    0.    0.086]	-1.0062199902343751	431	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	93	[0.32  0.232 0.448 0.    0.    0.    0.    0.   ]	-0.9341082324218752	355	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	94	[0.    0.    0.    0.475 0.514 0.011 0.    0.   ]	-0.1392682226562498	115	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	95	[0.082 0.257 0.661 0.    0.    0.    0.    0.   ]	-0.6673032031249989	150	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	96	[0.452 0.457 0.    0.    0.091 0.    0.    0.   ]	-0.8606526562499971	432	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	97	[0.423 0.236 0.174 0.035 0.    0.    0.    0.132]	-1.0056154394531236	431	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	98	[0.814 0.    0.002 0.    0.024 0.    0.106 0.054]	-0.8417416992187513	449	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	99	[0.228 0.    0.529 0.    0.243 0.    0.    0.   ]	-0.6158733203124995	347	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	100	[0.    0.    0.699 0.    0.    0.    0.301 0.   ]	-0.1854941406249993	48	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	101	[0.336 0.362 0.213 0.    0.    0.    0.    0.089]	-0.9314303906249992	349	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	102	[0.411 0.231 0.188 0.022 0.    0.    0.    0.148]	-1.0166930175781237	431	True
