Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.007
4	0.007
5	0.009
6	0.011
7	0.013
8	0.016
9	0.016
10	0.018
11	0.018
12	0.02
13	0.02
14	0.022
15	0.022
16	0.022
17	0.024
18	0.027
19	0.029
20	0.031
21	0.033
22	0.033
23	0.036
24	0.038
25	0.04
26	0.042
27	0.042
28	0.042
29	0.042
30	0.042
31	0.042
32	0.042
33	0.044
34	0.044
35	0.044
36	0.044
37	0.044
38	0.044
39	0.044
40	0.044
41	0.047
42	0.049
43	0.049
44	0.051
45	0.053
46	0.053
47	0.056
48	0.058
49	0.06
50	0.06
51	0.062
52	0.064
53	0.067
54	0.069
55	0.071
56	0.071
57	0.073
58	0.076
59	0.078
60	0.08
61	0.08
62	0.082
63	0.084
64	0.087
65	0.087
66	0.089
67	0.091
68	0.093
69	0.096
70	0.096
71	0.098
72	0.098
73	0.098
74	0.098
75	0.098
76	0.098
77	0.098
78	0.098
79	0.1
80	0.1
81	0.102
82	0.104
83	0.104
84	0.104
85	0.104
86	0.104
87	0.107
88	0.107
89	0.107
90	0.107
91	0.107
92	0.109
93	0.111
94	0.111
95	0.113
96	0.113
97	0.113
98	0.116
99	0.116
100	0.116
101	0.116
102	0.118
103	0.118
104	0.12
105	0.122
106	0.124
107	0.124
108	0.124
109	0.127
110	0.129
111	0.131
112	0.133
113	0.136
114	0.138
115	0.138
116	0.14
117	0.142
118	0.144
119	0.147
120	0.149
121	0.149
122	0.149
123	0.149
124	0.151
125	0.151
126	0.151
127	0.151
128	0.153
129	0.153
130	0.156
131	0.158
132	0.158
133	0.16
134	0.162
135	0.164
136	0.164
137	0.167
138	0.169
139	0.171
140	0.173
141	0.173
142	0.176
143	0.178
144	0.178
145	0.18
146	0.18
147	0.182
148	0.182
149	0.182
150	0.182
151	0.184
152	0.187
153	0.189
154	0.191
155	0.191
156	0.193
157	0.193
158	0.196
159	0.196
160	0.196
161	0.196
162	0.196
163	0.196
164	0.198
165	0.198
166	0.2
167	0.202
168	0.202
169	0.204
170	0.207
171	0.207
172	0.209
173	0.209
174	0.209
175	0.211
176	0.213
177	0.216
178	0.216
179	0.216
180	0.218
181	0.22
182	0.222
183	0.222
184	0.222
185	0.222
186	0.222
187	0.222
188	0.224
189	0.227
190	0.229
191	0.229
192	0.231
193	0.233
194	0.236
195	0.238
196	0.24
197	0.24
198	0.24
199	0.242
200	0.242
201	0.242
202	0.242
203	0.242
204	0.242
205	0.244
206	0.244
207	0.244
208	0.247
209	0.247
210	0.249
211	0.249
212	0.249
213	0.249
214	0.251
215	0.251
216	0.253
217	0.253
218	0.253
219	0.253
220	0.253
221	0.253
222	0.253
223	0.253
224	0.253
225	0.253
226	0.256
227	0.256
228	0.258
229	0.26
230	0.262
231	0.264
232	0.267
233	0.267
234	0.267
235	0.267
236	0.269
237	0.269
238	0.269
239	0.269
240	0.269
241	0.269
242	0.269
243	0.271
244	0.271
245	0.271
246	0.271
247	0.271
248	0.271
249	0.271
250	0.273
251	0.273
252	0.276
253	0.276
254	0.278
255	0.278
256	0.28
257	0.28
258	0.282
259	0.284
260	0.284
261	0.284
262	0.287
263	0.289
264	0.289
265	0.289
266	0.291
267	0.293
268	0.293
269	0.293
270	0.296
271	0.298
272	0.3
273	0.3
274	0.302
275	0.302
276	0.302
277	0.302
278	0.302
279	0.304
280	0.304
281	0.304
282	0.307
283	0.307
284	0.309
285	0.309
286	0.309
287	0.309
288	0.311
289	0.311
290	0.313
291	0.313
292	0.313
293	0.313
294	0.316
295	0.316
296	0.318
297	0.318
298	0.318
299	0.32
