Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.007
4	0.009
5	0.009
6	0.011
7	0.013
8	0.013
9	0.016
10	0.018
11	0.02
12	0.022
13	0.022
14	0.024
15	0.027
16	0.029
17	0.031
18	0.033
19	0.036
20	0.038
21	0.038
22	0.04
23	0.042
24	0.042
25	0.044
26	0.047
27	0.047
28	0.047
29	0.049
30	0.049
31	0.049
32	0.051
33	0.051
34	0.051
35	0.053
36	0.056
37	0.058
38	0.06
39	0.062
40	0.062
41	0.064
42	0.064
43	0.067
44	0.067
45	0.069
46	0.071
47	0.073
48	0.073
49	0.076
50	0.076
51	0.078
52	0.078
53	0.078
54	0.078
55	0.08
56	0.08
57	0.08
58	0.08
59	0.08
60	0.08
61	0.08
62	0.08
63	0.08
64	0.082
65	0.082
66	0.082
67	0.082
68	0.082
69	0.082
70	0.082
71	0.084
72	0.084
73	0.087
74	0.089
75	0.089
76	0.089
77	0.089
78	0.089
79	0.089
80	0.089
81	0.089
82	0.089
83	0.089
84	0.089
85	0.089
86	0.089
87	0.089
88	0.089
89	0.091
90	0.091
91	0.091
92	0.093
93	0.093
94	0.093
95	0.093
96	0.093
97	0.096
98	0.096
99	0.096
100	0.098
101	0.098
102	0.098
103	0.1
104	0.1
105	0.1
106	0.1
107	0.1
108	0.1
109	0.1
110	0.1
111	0.1
112	0.1
113	0.1
114	0.1
115	0.102
116	0.102
117	0.102
118	0.102
119	0.104
120	0.104
121	0.104
122	0.104
123	0.104
124	0.107
125	0.107
126	0.107
127	0.107
128	0.107
129	0.109
130	0.109
131	0.109
132	0.109
133	0.111
134	0.113
135	0.116
136	0.118
137	0.118
138	0.118
139	0.118
140	0.118
141	0.12
142	0.12
143	0.122
144	0.124
145	0.127
146	0.127
147	0.127
148	0.129
149	0.131
150	0.131
151	0.131
152	0.133
153	0.133
154	0.136
155	0.138
156	0.138
157	0.14
158	0.142
159	0.142
160	0.144
161	0.144
162	0.147
163	0.147
164	0.149
165	0.149
166	0.151
167	0.151
168	0.151
169	0.151
170	0.153
171	0.153
172	0.153
173	0.156
174	0.156
175	0.156
176	0.158
177	0.158
178	0.16
179	0.162
180	0.162
181	0.164
182	0.164
183	0.167
184	0.169
185	0.171
186	0.171
187	0.171
188	0.173
189	0.173
190	0.176
191	0.176
192	0.178
193	0.18
194	0.18
195	0.182
196	0.184
197	0.184
198	0.187
199	0.187
200	0.187
201	0.189
202	0.191
203	0.191
204	0.191
205	0.193
206	0.193
207	0.193
208	0.193
209	0.193
210	0.193
211	0.193
212	0.193
213	0.196
214	0.198
215	0.198
216	0.198
217	0.198
218	0.198
219	0.198
220	0.2
221	0.2
222	0.202
223	0.204
224	0.207
225	0.207
226	0.209
227	0.209
228	0.211
229	0.211
230	0.213
231	0.213
232	0.213
233	0.216
234	0.218
235	0.22
236	0.222
237	0.224
238	0.224
239	0.224
240	0.224
241	0.224
242	0.227
243	0.227
244	0.229
245	0.231
246	0.231
247	0.231
248	0.233
249	0.236
250	0.236
251	0.238
252	0.238
253	0.238
254	0.24
255	0.242
256	0.244
257	0.247
258	0.247
259	0.247
260	0.249
261	0.251
262	0.251
263	0.251
264	0.251
265	0.251
266	0.253
267	0.253
268	0.253
269	0.256
270	0.256
271	0.258
272	0.26
273	0.262
274	0.264
275	0.264
276	0.267
277	0.269
278	0.269
279	0.269
280	0.269
281	0.269
282	0.269
283	0.269
284	0.271
285	0.273
286	0.273
287	0.273
288	0.276
289	0.276
290	0.278
291	0.278
292	0.28
293	0.282
294	0.282
295	0.282
296	0.282
297	0.284
298	0.284
299	0.287
