ID	Elements	Generation	Position	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[1. 0. 0.]	[-0.041  0.02   0.02 ]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	0	[0. 0. 1.]	[ 0.02   0.02  -0.041]	-0.24288522460937503
3	['Pt', 'Pd', 'Au']	0	[0. 1. 0.]	[ 0.02  -0.041  0.02 ]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	[-0.02  -0.02   0.041]	-0.9506590917968724
5	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	[-0.02   0.041 -0.02 ]	-0.9241540722656275
6	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	[ 0.041 -0.02  -0.02 ]	-0.27906543945312473
1	['Pt', 'Pd', 'Au']	1	[ 1.016 -0.022  0.006]	[-0.008  0.011 -0.003]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	1	[0.083 0.034 0.883]	[ 0.083  0.034 -0.117]	-0.6399882617187495
3	['Pt', 'Pd', 'Au']	1	[-0.214  1.186  0.026]	[ 0.107 -0.093 -0.013]	-0.27648028320312484
4	['Pt', 'Pd', 'Au']	1	[0.552 0.414 0.034]	[-0.026  0.043 -0.017]	-0.9526170214843723
5	['Pt', 'Pd', 'Au']	1	[0.502 0.106 0.392]	[-0.001 -0.053  0.054]	-0.9489989941406273
6	['Pt', 'Pd', 'Au']	1	[0.09 0.51 0.4 ]	[ 0.09  0.01 -0.1 ]	-0.7290772558593733
1	['Pt', 'Pd', 'Au']	2	[ 1.034 -0.032 -0.002]	[-0.009  0.005  0.004]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	2	[0.095 0.062 0.844]	[ 0.012  0.028 -0.039]	-0.69127076171875
3	['Pt', 'Pd', 'Au']	2	[-0.48   1.386  0.094]	[ 0.133 -0.1   -0.034]	-0.27646060546874984
4	['Pt', 'Pd', 'Au']	2	[0.564 0.358 0.078]	[ 0.012 -0.056  0.044]	-0.9554674316406223
5	['Pt', 'Pd', 'Au']	2	[0.517 0.172 0.311]	[ 0.015  0.066 -0.081]	-1.0066693164062492
6	['Pt', 'Pd', 'Au']	2	[0.064 0.487 0.449]	[-0.026 -0.023  0.049]	-0.3091067285156244
1	['Pt', 'Pd', 'Au']	3	[ 1.164 -0.078 -0.084]	[-0.065  0.023  0.041]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	3	[0.185 0.013 0.803]	[ 0.09  -0.049 -0.041]	-0.7986482226562513
3	['Pt', 'Pd', 'Au']	3	[-0.654  1.74  -0.086]	[ 0.087 -0.177  0.09 ]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	3	[0.57  0.426 0.004]	[ 0.006  0.068 -0.074]	-0.9511530664062474
5	['Pt', 'Pd', 'Au']	3	[0.497 0.118 0.385]	[-0.02  -0.054  0.074]	-0.9498518847656273
6	['Pt', 'Pd', 'Au']	3	[0.197 0.42  0.382]	[ 0.133 -0.067 -0.067]	-0.9693971679687492
1	['Pt', 'Pd', 'Au']	4	[ 1.126 -0.078 -0.046]	[ 0.019 -0.    -0.019]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	4	[0.098 0.104 0.8  ]	[-0.087  0.091 -0.003]	-0.7136074023437496
3	['Pt', 'Pd', 'Au']	4	[-0.76   2.034 -0.276]	[ 0.053 -0.147  0.095]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	4	[0.592 0.343 0.065]	[ 0.022 -0.083  0.061]	-0.9587482421874973
5	['Pt', 'Pd', 'Au']	4	[0.514 0.177 0.31 ]	[ 0.017  0.059 -0.075]	-1.0070220898437494
6	['Pt', 'Pd', 'Au']	4	[0.104 0.441 0.454]	[-0.093  0.021  0.072]	-0.7626287109374987
1	['Pt', 'Pd', 'Au']	5	[ 1.246 -0.112 -0.132]	[-0.06   0.017  0.043]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	5	[0.218 0.032 0.752]	[ 0.12  -0.072 -0.048]	-0.7954217871093773
3	['Pt', 'Pd', 'Au']	5	[-0.964  2.336 -0.374]	[ 0.102 -0.151  0.049]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	5	[0.557 0.408 0.035]	[-0.035  0.065 -0.03 ]	-0.9526170214843723
5	['Pt', 'Pd', 'Au']	5	[0.515 0.086 0.4  ]	[ 0.001 -0.091  0.09 ]	-0.9309022070312526
6	['Pt', 'Pd', 'Au']	5	[0.236 0.377 0.386]	[ 0.132 -0.064 -0.068]	-0.961562294921875
1	['Pt', 'Pd', 'Au']	6	[ 1.212 -0.118 -0.09 ]	[ 0.017  0.003 -0.021]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	6	[0.114 0.128 0.759]	[-0.104  0.096  0.007]	-0.7371079589843744
3	['Pt', 'Pd', 'Au']	6	[-1.098  2.602 -0.508]	[ 0.067 -0.133  0.067]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	6	[0.549 0.426 0.025]	[-0.008  0.018 -0.01 ]	-0.9508957812499974
5	['Pt', 'Pd', 'Au']	6	[0.509 0.185 0.307]	[-0.006  0.099 -0.093]	-1.0065118066406245
6	['Pt', 'Pd', 'Au']	6	[0.127 0.488 0.385]	[-0.109  0.111 -0.001]	-0.7807712597656243
1	['Pt', 'Pd', 'Au']	7	[ 1.434 -0.2   -0.23 ]	[-0.111  0.041  0.07 ]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	7	[0.246 0.104 0.651]	[ 0.132 -0.024 -0.108]	-0.8168217871093771
3	['Pt', 'Pd', 'Au']	7	[-1.29   2.898 -0.612]	[ 0.096 -0.148  0.052]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	7	[0.537 0.381 0.082]	[-0.012 -0.045  0.057]	-0.9547112207031223
5	['Pt', 'Pd', 'Au']	7	[0.559 0.045 0.397]	[ 0.05 -0.14  0.09]	-0.9252033398437527
6	['Pt', 'Pd', 'Au']	7	[0.23  0.391 0.378]	[ 0.103 -0.097 -0.007]	-0.9605431054687499
1	['Pt', 'Pd', 'Au']	8	[ 1.336 -0.178 -0.154]	[ 0.049 -0.011 -0.038]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	8	[0.136 0.142 0.723]	[-0.11   0.038  0.072]	-0.7696519921874999
3	['Pt', 'Pd', 'Au']	8	[-1.412  3.04  -0.632]	[ 0.061 -0.071  0.01 ]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	8	[0.536 0.449 0.015]	[-0.001  0.068 -0.067]	-0.9504018066406223
5	['Pt', 'Pd', 'Au']	8	[0.518 0.162 0.321]	[-0.041  0.117 -0.076]	-1.0014615820312496
6	['Pt', 'Pd', 'Au']	8	[0.129 0.486 0.384]	[-0.101  0.095  0.006]	-0.7791700878906243
1	['Pt', 'Pd', 'Au']	9	[ 1.474 -0.212 -0.258]	[-0.069  0.017  0.052]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	9	[0.238 0.109 0.654]	[ 0.102 -0.033 -0.069]	-0.8139766308593774
3	['Pt', 'Pd', 'Au']	9	[-1.582  3.324 -0.748]	[ 0.085 -0.142  0.058]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	9	[0.561 0.327 0.112]	[ 0.025 -0.122  0.097]	-0.9628864453124982
5	['Pt', 'Pd', 'Au']	9	[0.588 0.    0.414]	[ 0.07  -0.162  0.093]	-0.9241540722656275
6	['Pt', 'Pd', 'Au']	9	[0.234 0.391 0.374]	[ 0.105 -0.095 -0.01 ]	-0.961522255859375
1	['Pt', 'Pd', 'Au']	10	[ 1.378 -0.26  -0.114]	[ 0.048  0.024 -0.072]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	10	[0.168 0.159 0.674]	[-0.07  0.05  0.02]	-0.8329805078125001
3	['Pt', 'Pd', 'Au']	10	[-1.79   3.662 -0.876]	[ 0.104 -0.169  0.064]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	10	[0.607 0.055 0.34 ]	[-0.023  0.136 -0.114]	-0.9311913183593785
5	['Pt', 'Pd', 'Au']	10	[0.523 0.157 0.322]	[-0.065  0.157 -0.092]	-1.0009929394531247
6	['Pt', 'Pd', 'Au']	10	[0.114 0.464 0.422]	[-0.12   0.073  0.048]	-0.760940224609374
1	['Pt', 'Pd', 'Au']	11	[ 1.602 -0.276 -0.322]	[-0.112  0.008  0.104]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	11	[0.213 0.11  0.678]	[ 0.045 -0.049  0.004]	-0.8144361035156273
3	['Pt', 'Pd', 'Au']	11	[-1.916  3.914 -1.002]	[ 0.063 -0.126  0.063]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	11	[0.583 0.267 0.152]	[ 0.012 -0.106  0.094]	-0.9606335058593746
5	['Pt', 'Pd', 'Au']	11	[0.569 0.039 0.394]	[ 0.046 -0.118  0.072]	-0.9243920703125027
6	['Pt', 'Pd', 'Au']	11	[0.237 0.386 0.377]	[ 0.123 -0.078 -0.045]	-0.961522255859375
1	['Pt', 'Pd', 'Au']	12	[ 1.494 -0.314 -0.176]	[ 0.054  0.019 -0.073]	-0.8933253515625026
2	['Pt', 'Pd', 'Au']	12	[0.17  0.183 0.647]	[-0.043  0.073 -0.031]	-0.8482182910156247
3	['Pt', 'Pd', 'Au']	12	[-2.03   4.2   -1.176]	[ 0.057 -0.143  0.087]	-0.27646029296874985
4	['Pt', 'Pd', 'Au']	12	[0.56  0.356 0.086]	[-0.023  0.089 -0.066]	-0.9634745898437476
5	['Pt', 'Pd', 'Au']	12	[0.521 0.131 0.35 ]	[-0.048  0.092 -0.044]	-1.0068828515625017
