ID	Elements	Generation	Position	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	[-0.033 -0.033  0.067]	-0.9401362109374961
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	[-0.033  0.067 -0.033]	-0.9185083886718775
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	[ 0.067 -0.033 -0.033]	-0.28553260742187486
4	['Pt', 'Pd', 'Au']	0	[0.094 0.592 0.314]	[ 0.048 -0.052  0.004]	-0.725978447265623
5	['Pt', 'Pd', 'Au']	0	[0.211 0.328 0.46 ]	[ 0.024  0.001 -0.025]	-0.9530331152343748
6	['Pt', 'Pd', 'Au']	0	[0.177 0.565 0.258]	[ 0.031 -0.046  0.015]	-0.979853134765623
1	['Pt', 'Pd', 'Au']	1	[0.498 0.502 0.   ]	[ 0.032  0.038 -0.07 ]	-0.9401362109374961
2	['Pt', 'Pd', 'Au']	1	[0.496 0.    0.504]	[ 0.019 -0.045  0.027]	-0.9185083886718775
3	['Pt', 'Pd', 'Au']	1	[0.02  0.562 0.418]	[ 0.02   0.062 -0.082]	-0.2902117382812499
4	['Pt', 'Pd', 'Au']	1	[0.063 0.633 0.304]	[-0.031  0.041 -0.01 ]	-0.31615450195312506
5	['Pt', 'Pd', 'Au']	1	[0.185 0.332 0.482]	[-0.026  0.004  0.022]	-0.966666513671874
6	['Pt', 'Pd', 'Au']	1	[0.158 0.6   0.242]	[-0.019  0.036 -0.016]	-0.9119959960937482
1	['Pt', 'Pd', 'Au']	2	[0.479 0.45  0.071]	[-0.019 -0.052  0.071]	-0.9464585156249964
2	['Pt', 'Pd', 'Au']	2	[0.482 0.033 0.485]	[-0.014  0.033 -0.019]	-0.9188835351562528
3	['Pt', 'Pd', 'Au']	2	[0.066 0.426 0.508]	[ 0.046 -0.136  0.09 ]	-0.3181433203124999
4	['Pt', 'Pd', 'Au']	2	[0.137 0.471 0.392]	[ 0.074 -0.162  0.088]	-0.787873037109374
5	['Pt', 'Pd', 'Au']	2	[0.21  0.328 0.462]	[ 0.025 -0.005 -0.021]	-0.9530887792968749
6	['Pt', 'Pd', 'Au']	2	[0.164 0.573 0.263]	[ 0.006 -0.027  0.021]	-0.9156246386718734
1	['Pt', 'Pd', 'Au']	3	[0.506 0.479 0.015]	[ 0.027  0.029 -0.056]	-0.9399040234374961
2	['Pt', 'Pd', 'Au']	3	[0.487 0.015 0.499]	[ 0.005 -0.018  0.014]	-0.9185083886718775
3	['Pt', 'Pd', 'Au']	3	[0.08  0.536 0.384]	[ 0.014  0.11  -0.124]	-0.6390449511718737
4	['Pt', 'Pd', 'Au']	3	[0.045 0.668 0.287]	[-0.092  0.197 -0.105]	-0.31313347656250035
5	['Pt', 'Pd', 'Au']	3	[0.187 0.334 0.479]	[-0.023  0.006  0.017]	-0.9656450683593738
6	['Pt', 'Pd', 'Au']	3	[0.161 0.591 0.248]	[-0.003  0.018 -0.015]	-0.917483710937498
1	['Pt', 'Pd', 'Au']	4	[0.472 0.444 0.084]	[-0.034 -0.035  0.069]	-0.9469690917968715
2	['Pt', 'Pd', 'Au']	4	[0.471 0.042 0.488]	[-0.016  0.027 -0.011]	-0.9195631054687529
3	['Pt', 'Pd', 'Au']	4	[0.102 0.309 0.589]	[ 0.022 -0.227  0.204]	-0.756680292968749
4	['Pt', 'Pd', 'Au']	4	[0.204 0.141 0.655]	[ 0.159 -0.527  0.368]	-0.8238949121093767
5	['Pt', 'Pd', 'Au']	4	[0.212 0.322 0.466]	[ 0.025 -0.012 -0.013]	-0.9594132617187501
6	['Pt', 'Pd', 'Au']	4	[0.165 0.574 0.261]	[ 0.004 -0.017  0.013]	-0.9172329492187483
1	['Pt', 'Pd', 'Au']	5	[0.494 0.474 0.032]	[ 0.022  0.03  -0.052]	-0.9406309765624962
2	['Pt', 'Pd', 'Au']	5	[0.478 0.023 0.5  ]	[ 0.007 -0.019  0.012]	-0.9189578417968776
3	['Pt', 'Pd', 'Au']	5	[0.06  0.577 0.363]	[-0.042  0.267 -0.226]	-0.31586626953125013
4	['Pt', 'Pd', 'Au']	5	[0.054 0.685 0.261]	[-0.15   0.544 -0.394]	-0.31354403320312507
5	['Pt', 'Pd', 'Au']	5	[0.196 0.326 0.478]	[-0.016  0.004  0.012]	-0.9660362792968742
6	['Pt', 'Pd', 'Au']	5	[0.162 0.582 0.256]	[-0.003  0.009 -0.005]	-0.9162756640624983
1	['Pt', 'Pd', 'Au']	6	[0.462 0.456 0.083]	[-0.032 -0.018  0.051]	-0.9469690917968715
2	['Pt', 'Pd', 'Au']	6	[0.475 0.035 0.491]	[-0.003  0.012 -0.009]	-0.9188835351562528
3	['Pt', 'Pd', 'Au']	6	[0.095 0.071 0.834]	[ 0.035 -0.506  0.471]	-0.6607391601562509
4	['Pt', 'Pd', 'Au']	6	[0.471 0.    0.529]	[ 0.466 -0.804  0.338]	-0.9185083886718775
5	['Pt', 'Pd', 'Au']	6	[0.213 0.324 0.463]	[ 0.017 -0.002 -0.015]	-0.9507740820312498
6	['Pt', 'Pd', 'Au']	6	[0.166 0.569 0.265]	[ 0.004 -0.013  0.009]	-0.9156246386718734
1	['Pt', 'Pd', 'Au']	7	[0.48  0.467 0.054]	[ 0.018  0.011 -0.029]	-0.9445629199218714
