ID	Elements	Generation	Position	Inertia	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	[-0.017 -0.017  0.033]	[-0.017 -0.017  0.033]	-0.9287691796874953
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	[-0.017  0.033 -0.017]	[-0.017  0.033 -0.017]	-0.9024045410156265
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	[ 0.033 -0.017 -0.017]	[ 0.033 -0.017 -0.017]	-0.28392964843750007
4	['Pt', 'Pd', 'Au']	0	[0.136 0.59  0.273]	[ 0.02  -0.026  0.006]	[ 0.02  -0.026  0.006]	-0.8017621777343719
5	['Pt', 'Pd', 'Au']	0	[0.378 0.402 0.22 ]	[-0.004 -0.007  0.011]	[-0.004 -0.007  0.011]	-0.9766684082031227
6	['Pt', 'Pd', 'Au']	0	[0.395 0.447 0.158]	[-0.006 -0.011  0.018]	[-0.006 -0.011  0.018]	-0.9324216308593716
1	['Pt', 'Pd', 'Au']	1	[0.483 0.483 0.033]	[-0.017 -0.017  0.033]	[-0.094 -0.065  0.159]	-0.9292134667968703
2	['Pt', 'Pd', 'Au']	1	[0.483 0.033 0.483]	[-0.017  0.033 -0.017]	[-0.071  0.341 -0.27 ]	-0.9039497851562515
3	['Pt', 'Pd', 'Au']	1	[0.033 0.483 0.483]	[ 0.033 -0.017 -0.017]	[ 0.321 -0.046 -0.275]	-0.3017919335937496
4	['Pt', 'Pd', 'Au']	1	[0.156 0.564 0.279]	[ 0.02  -0.026  0.006]	[ 0.222 -0.175 -0.047]	-0.918282578124996
5	['Pt', 'Pd', 'Au']	1	[0.374 0.395 0.231]	[-0.004 -0.007  0.011]	[ 0.007  0.013 -0.021]	-0.9998063476562477
6	['Pt', 'Pd', 'Au']	1	[0.389 0.436 0.176]	[-0.006 -0.011  0.018]	[-0.004 -0.029  0.033]	-0.9344120507812467
1	['Pt', 'Pd', 'Au']	2	[0.389 0.418 0.192]	[-0.017 -0.017  0.033]	[ 0.026  0.012 -0.038]	-0.9481123046874969
2	['Pt', 'Pd', 'Au']	2	[0.412 0.374 0.213]	[-0.017  0.033 -0.017]	[-0.006 -0.084  0.09 ]	-0.951147470703122
3	['Pt', 'Pd', 'Au']	2	[0.354 0.437 0.208]	[ 0.033 -0.017 -0.017]	[-0.044 -0.02   0.063]	-0.9522829492187471
4	['Pt', 'Pd', 'Au']	2	[0.378 0.389 0.232]	[ 0.02  -0.026  0.006]	[-0.079  0.086 -0.007]	-0.9998063476562477
5	['Pt', 'Pd', 'Au']	2	[0.381 0.408 0.21 ]	[-0.004 -0.007  0.011]	[-0.002 -0.005  0.007]	-0.9513037207031221
6	['Pt', 'Pd', 'Au']	2	[0.385 0.407 0.209]	[-0.006 -0.011  0.018]	[-0.002  0.012 -0.011]	-0.9513037207031221
1	['Pt', 'Pd', 'Au']	3	[0.415 0.43  0.154]	[-0.017 -0.017  0.033]	[-0.079  0.02   0.058]	-0.9296821777343713
2	['Pt', 'Pd', 'Au']	3	[0.406 0.29  0.303]	[-0.017  0.033 -0.017]	[-0.062  0.153 -0.091]	-1.0301237988281233
3	['Pt', 'Pd', 'Au']	3	[0.31  0.417 0.271]	[ 0.033 -0.017 -0.017]	[ 0.012  0.037 -0.049]	-0.983410458984373
4	['Pt', 'Pd', 'Au']	3	[0.299 0.475 0.225]	[ 0.02  -0.026  0.006]	[ 0.052 -0.055  0.003]	-0.9344787695312486
5	['Pt', 'Pd', 'Au']	3	[0.379 0.403 0.217]	[-0.004 -0.007  0.011]	[-0.045  0.04   0.005]	-0.972364169921873
6	['Pt', 'Pd', 'Au']	3	[0.383 0.419 0.198]	[-0.006 -0.011  0.018]	[-0.044  0.025  0.019]	-0.950460087890622
1	['Pt', 'Pd', 'Au']	4	[0.336 0.45  0.212]	[-0.017 -0.017  0.033]	[ 0.087 -0.11   0.023]	-0.9171391601562477
2	['Pt', 'Pd', 'Au']	4	[0.344 0.443 0.212]	[-0.017  0.033 -0.017]	[ 0.083 -0.185  0.102]	-0.9336404882812475
3	['Pt', 'Pd', 'Au']	4	[0.322 0.454 0.222]	[ 0.033 -0.017 -0.017]	[ 0.037 -0.117  0.079]	-0.9472486425781226
4	['Pt', 'Pd', 'Au']	4	[0.351 0.42  0.228]	[ 0.02  -0.026  0.006]	[ 0.024 -0.061  0.037]	-0.9940715136718727
5	['Pt', 'Pd', 'Au']	4	[0.334 0.443 0.222]	[-0.004 -0.007  0.011]	[ 0.074 -0.115  0.041]	-0.952446874999998
6	['Pt', 'Pd', 'Au']	4	[0.339 0.444 0.217]	[-0.006 -0.011  0.018]	[ 0.072 -0.108  0.036]	-0.9540420019531233
1	['Pt', 'Pd', 'Au']	5	[0.423 0.34  0.235]	[-0.017 -0.017  0.033]	[-0.03   0.014  0.016]	-1.0077628417968731
2	['Pt', 'Pd', 'Au']	5	[0.427 0.258 0.314]	[-0.017  0.033 -0.017]	[-0.032  0.049 -0.017]	-1.017526767578125
3	['Pt', 'Pd', 'Au']	5	[0.359 0.337 0.301]	[ 0.033 -0.017 -0.017]	[-0.006  0.016 -0.01 ]	-1.0242770019531227
4	['Pt', 'Pd', 'Au']	5	[0.375 0.359 0.265]	[ 0.02  -0.026  0.006]	[ 0.003 -0.013  0.011]	-1.0190651757812474
5	['Pt', 'Pd', 'Au']	5	[0.408 0.328 0.263]	[-0.004 -0.007  0.011]	[-0.025  0.016  0.009]	-1.0245325683593725
6	['Pt', 'Pd', 'Au']	5	[0.411 0.336 0.253]	[-0.006 -0.011  0.018]	[-0.035  0.022  0.014]	-1.0237687207031225
1	['Pt', 'Pd', 'Au']	6	[0.393 0.354 0.251]	[-0.017 -0.017  0.033]	[ 0.029 -0.036  0.007]	-1.0236946093749975
2	['Pt', 'Pd', 'Au']	6	[0.395 0.307 0.297]	[-0.017  0.033 -0.017]	[ 0.021 -0.03   0.009]	-1.030436074218748
