ID	Elements	Generation	Position	Region	Velocity	Visited	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	73	[-0.082 -0.082  0.163]	False	-0.9447337499999969
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	70	[-0.082  0.163 -0.082]	False	-0.9247535058593772
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	15	[ 0.163 -0.082 -0.082]	False	-0.2709406249999998
4	['Pt', 'Pd', 'Au']	0	[0.491 0.189 0.319]	74	[-0.148  0.134  0.013]	False	-1.0031608691406253
5	['Pt', 'Pd', 'Au']	0	[0.01  0.731 0.258]	1	[ 0.125 -0.154  0.029]	False	-0.2783904394531251
6	['Pt', 'Pd', 'Au']	0	[0.264 0.677 0.06 ]	48	[ 0.031 -0.155  0.123]	False	-0.8929661035156219
1	['Pt', 'Pd', 'Au']	1	[0.284 0.49  0.226]	47	[ 0.108  0.005 -0.113]	False	-0.952038173828124
2	['Pt', 'Pd', 'Au']	1	[0.396 0.27  0.336]	60	[ 0.052 -0.135  0.082]	False	-1.0189179589843746
3	['Pt', 'Pd', 'Au']	1	[0.098 0.396 0.506]	14	[ 0.098 -0.104  0.006]	False	-0.7392143066406235
4	['Pt', 'Pd', 'Au']	1	[0.596 0.091 0.312]	82	[ 0.105 -0.098 -0.007]	False	-0.9480272753906273
5	['Pt', 'Pd', 'Au']	1	[0.081 0.637 0.28 ]	17	[ 0.071 -0.094  0.022]	False	-0.656219902343748
6	['Pt', 'Pd', 'Au']	1	[0.284 0.443 0.276]	47	[-0.01   0.117 -0.108]	False	-0.9852098828124995
1	['Pt', 'Pd', 'Au']	2	[0.187 0.489 0.324]	35	[-0.097 -0.001  0.098]	False	-0.9802903515624986
2	['Pt', 'Pd', 'Au']	2	[0.361 0.422 0.219]	52	[-0.035  0.152 -0.117]	False	-0.9965980761718735
3	['Pt', 'Pd', 'Au']	2	[0.067 0.468 0.465]	15	[-0.031  0.072 -0.041]	True	-0.3179857421874996
4	['Pt', 'Pd', 'Au']	2	[0.499 0.181 0.319]	74	[-0.097  0.09   0.007]	True	-1.0017995703125
5	['Pt', 'Pd', 'Au']	2	[0.121 0.638 0.239]	23	[ 0.04   0.001 -0.041]	False	-0.751330175781248
6	['Pt', 'Pd', 'Au']	2	[0.307 0.358 0.339]	53	[ 0.023 -0.085  0.063]	False	-0.9911215039062491
1	['Pt', 'Pd', 'Au']	3	[0.275 0.486 0.239]	47	[ 0.088 -0.003 -0.085]	True	-0.9738639746093745
2	['Pt', 'Pd', 'Au']	3	[0.386 0.349 0.267]	61	[ 0.025 -0.073  0.048]	False	-1.0373520703124977
3	['Pt', 'Pd', 'Au']	3	[0.206 0.324 0.47 ]	41	[ 0.139 -0.144  0.005]	False	-0.9631678710937492
4	['Pt', 'Pd', 'Au']	3	[0.585 0.111 0.303]	76	[ 0.086 -0.07  -0.016]	False	-0.9620983398437526
5	['Pt', 'Pd', 'Au']	3	[0.166 0.561 0.271]	29	[ 0.045 -0.077  0.032]	False	-0.9216147753906233
6	['Pt', 'Pd', 'Au']	3	[0.293 0.428 0.284]	47	[-0.014  0.07  -0.055]	True	-0.9899441992187497
1	['Pt', 'Pd', 'Au']	4	[0.225 0.494 0.282]	47	[-0.05   0.008  0.043]	True	-0.969932597656249
2	['Pt', 'Pd', 'Au']	4	[0.329 0.426 0.247]	52	[-0.057  0.077 -0.02 ]	True	-1.007815126953124
3	['Pt', 'Pd', 'Au']	4	[0.074 0.449 0.478]	15	[-0.132  0.125  0.008]	True	-0.44173607421874955
4	['Pt', 'Pd', 'Au']	4	[0.506 0.176 0.316]	76	[-0.079  0.065  0.013]	True	-1.00040087890625
5	['Pt', 'Pd', 'Au']	4	[0.127 0.644 0.227]	23	[-0.039  0.083 -0.044]	True	-0.7541868847656228
6	['Pt', 'Pd', 'Au']	4	[0.294 0.364 0.347]	46	[ 0.001 -0.064  0.063]	False	-0.9763861230468746
1	['Pt', 'Pd', 'Au']	5	[0.261 0.509 0.231]	36	[ 0.036  0.015 -0.051]	False	-0.9647660058593744
2	['Pt', 'Pd', 'Au']	5	[0.336 0.409 0.257]	52	[ 0.007 -0.017  0.01 ]	True	-1.009074267578124
3	['Pt', 'Pd', 'Au']	5	[0.23  0.328 0.443]	41	[ 0.156 -0.121 -0.035]	True	-0.9607914746093742
4	['Pt', 'Pd', 'Au']	5	[0.568 0.168 0.262]	80	[ 0.062 -0.008 -0.054]	False	-0.9973485644531254
5	['Pt', 'Pd', 'Au']	5	[0.159 0.589 0.25 ]	29	[ 0.032 -0.055  0.023]	True	-0.9167515429687483
6	['Pt', 'Pd', 'Au']	5	[0.295 0.412 0.297]	47	[ 0.001  0.048 -0.05 ]	True	-0.9908010742187496
